label,x,y
wc0,15.867421,-1.8480353
wc0,15.030275,-1.3222224
wc0,16.192947,-1.4633678
wc0,14.8928385,-1.8094143
wc0,16.292015,-1.8163105
wc0,15.420898,-2.2588727
wc0,14.70072,-1.6302303
wc0,15.1516,-0.9502374
wc0,16.432693,-1.7632504
wc0,16.440542,-1.4680717
wc0,15.639304,-2.3616202
wc0,16.463987,-1.8054394
wc0,15.29154,-2.354419
wc0,15.080053,-0.87821585
wc0,16.466267,-1.9500928
wc0,16.46132,-1.3503643
wc0,15.327267,-0.7649764
wc0,14.820214,-0.93022585
wc0,14.481908,-1.7540364
wc0,14.4628,-1.4184136
wc0,15.558234,-0.6792498
wc0,14.959316,-2.4759204
wc0,14.3137,-1.3604355
wc0,16.652859,-2.1387372
wc0,15.179084,-2.6119637
wc0,16.063608,-2.6211627
wc0,16.470854,-0.8504856
wc0,16.793915,-1.1311792
wc0,14.093399,-1.7357852
wc0,15.039552,-0.43718442
wc0,17.021095,-1.6885344
wc0,15.035586,-0.42415342
wc0,14.615469,-0.5982493
wc0,17.005428,-1.93635
wc0,16.639324,-0.79397094
wc0,15.23482,-0.31260043
wc0,16.204771,-2.8162403
wc0,15.154128,-0.2878685
wc0,14.512958,-2.6497562
wc0,16.18506,-2.9255035
wc0,13.885975,-1.0990138
wc0,13.828119,-1.2025162
wc0,17.150644,-1.087744
wc0,17.315897,-1.6716859
wc0,14.644131,-0.26681697
wc0,13.880366,-0.8466568
wc0,16.342472,-3.0154276
wc0,13.692888,-1.2157834
wc0,13.6499195,-1.5956482
wc0,15.290173,-3.153113
wc0,13.826022,-0.83996063
wc0,15.76784,-3.180703
wc0,15.001795,-3.1256976
wc0,13.636973,-1.2494636
wc0,17.414812,-2.0510736
wc0,13.6167965,-1.7743547
wc0,17.329205,-2.287827
wc0,16.713057,-0.38779357
wc0,15.00137,-0.01726969
wc0,15.874502,-3.2241552
wc0,13.547772,-1.625556
wc0,13.989123,-0.4699953
wc0,14.45114,-0.12910843
wc0,17.324621,-2.4870603
wc0,16.179296,-0.019703442
wc0,17.56641,-2.05203
wc0,13.450083,-1.4499303
wc0,13.646088,-0.7863482
wc0,17.601028,-1.9819584
wc0,13.514884,-0.9948602
wc0,14.172927,-0.19242069
wc0,14.038893,-2.8339942
wc0,15.534896,-3.391591
wc0,17.618862,-2.210398
wc0,17.678127,-2.0783637
wc0,13.608078,-2.5047824
wc0,13.261883,-1.3658423
wc0,14.82135,-3.412863
wc0,17.05673,-0.23223397
wc0,16.899824,-0.105669424
wc0,16.785519,-0.00924031
wc0,17.411264,-2.8845656
wc0,14.659719,-3.4644017
wc0,13.2467575,-2.2377744
wc0,17.936607,-1.8504757
wc0,14.073081,0.08371211
wc0,13.641766,-2.9375606
wc0,13.785778,-3.0979588
wc0,13.733226,-3.065358
wc0,14.649815,0.44560215
wc0,17.482258,-3.0361505
wc0,14.238739,0.3272994
wc0,16.495651,-3.624659
wc0,13.241788,-2.608941
wc0,17.878124,-2.6083553
wc0,17.98388,-1.0393418
wc0,16.654608,-3.58511
wc0,15.9782915,-3.7985728
wc0,17.89788,-0.72228706
wc0,17.909094,-0.7387237
wc0,18.16558,-2.20184
wc0,17.471403,-3.2719595
wc0,13.833676,-3.4247394
wc0,16.51487,0.5180504
wc0,14.296946,-3.6883526
wc0,12.7221,-1.7150129
wc0,18.115082,-2.5606132
wc0,12.985166,-2.6342742
wc0,12.968946,-0.47685
wc0,12.83631,-2.354502
wc0,14.198857,-3.7244856
wc0,18.252039,-2.5388844
wc0,16.587214,-3.8887067
wc0,12.569032,-1.5902737
wc0,15.348477,-4.1274257
wc0,18.523293,-1.6328537
wc0,14.464983,0.88284963
wc0,17.845148,-3.3707373
wc0,13.016942,0.07739102
wc0,18.28492,-0.5543357
wc0,18.583544,-1.31126
wc0,16.610252,0.819759
wc0,12.872027,-0.048742257
wc0,18.083965,-3.2130685
wc0,14.643473,1.0223006
wc0,12.737545,-0.15954602
wc0,12.346075,-1.0393225
wc0,18.689995,-1.7445143
wc0,17.72913,-3.5702784
wc0,13.01818,-3.2902286
wc0,16.153688,1.0227383
wc0,18.709623,-1.548014
wc0,14.98719,-4.297895
wc0,15.551074,1.1476324
wc0,14.927891,1.1510141
wc0,12.319201,-0.77524376
wc0,12.629988,-0.12207055
wc0,18.691053,-1.0258194
wc0,13.218166,0.5344632
wc0,13.322409,-3.7223444
wc0,16.804518,-4.202158
wc0,17.614124,-3.8205917
wc0,17.837482,0.35217708
wc0,12.073914,-1.4367685
wc0,12.272599,-2.5468898
wc0,17.852339,0.35674348
