label,dim1,dim2
wc0,9.038043,-28.873074
wc0,-39.552048,-1.7890532
wc0,-38.81886,-3.1912236
wc0,-40.748955,-2.749496
wc0,-36.957508,-1.7676023
wc0,-38.90784,1.6549726
wc0,-37.740826,-1.8157725
wc0,-39.675396,0.1581348
wc0,-40.39471,0.50800335
wc0,-38.93005,-2.157697
wc0,-37.724293,1.2547759
wc0,-39.98231,0.5001524
wc0,-37.777508,1.5176841
wc0,-35.498863,-1.6218168
wc0,-36.21616,-2.6824083
wc0,-35.463837,0.5685804
wc0,-37.30778,-2.1603048
wc0,-35.756798,-1.4746389
wc0,-36.500423,-1.2629026
wc0,-36.838326,-2.5009706
wc0,-37.197117,-0.4977331
wc0,-35.67545,0.7690907
wc0,-39.814835,0.65521103
wc0,-36.673866,-0.7121091
wc0,-36.762135,0.6270498
wc0,-37.543617,-0.77692443
wc0,-39.0073,2.1715214
wc0,-36.82558,1.3660032
wc0,-37.21439,0.35949022
wc0,-35.776825,-0.37509388
wc0,-37.10414,-0.2602327
wc0,-40.461422,-0.65449166
wc0,-38.61613,-2.9916325
wc0,-39.15269,-3.002541
wc0,-39.10272,-0.42219955
wc0,-38.711826,-1.3628694
wc0,-36.94701,-1.589671
wc0,-38.787094,-3.8147154
wc0,-39.126,-0.056649026
wc0,-40.668247,-2.651472
wc0,-38.913002,0.80795485
wc0,-39.18365,-0.41539156
wc0,-40.093517,-0.3217238
wc0,-41.195576,-0.51287866
wc0,-38.01675,-2.6919901
wc0,-38.31644,0.35051805
wc0,-40.539078,-2.3006473
wc0,-39.644917,-3.0027747
wc0,-37.51644,-3.5840397
wc0,-40.329758,-1.7567474
wc0,-39.691174,-3.223942
wc0,-38.63654,-0.36301488
wc0,-38.01861,-1.2679133
wc0,-40.601227,-0.5234265
wc0,-36.935757,-0.17637071
wc0,-37.350353,-0.33584335
wc0,-39.037766,-1.6185892
wc0,-39.230507,-2.3578146
wc0,-37.034172,-1.821776
wc0,-40.453426,-0.22106655
wc0,-40.866467,0.67677915
wc0,-40.783916,-0.93400955
wc0,-40.221207,-0.07957394
wc0,-39.852535,-1.9308739
wc0,-40.420055,-2.0192657
wc0,-39.0658,-0.3558066
wc0,-41.454983,-1.0765911
wc0,-36.54515,0.022558032
wc0,-38.896027,0.015505062
wc0,-39.442173,1.4106066
wc0,-39.123043,-0.46523547
wc0,-39.424675,-0.09627964
wc0,-35.39067,0.30405113
wc0,-36.628082,1.5700731
wc0,-35.199905,-0.8123337
wc0,-39.631863,1.1960056
wc0,-39.596462,1.345611
wc0,-36.22655,-0.9530898
wc0,-38.779488,0.79808563
wc0,-39.65168,0.3113241
wc0,-38.331566,1.0929277
wc0,-36.541252,-1.5808313
wc0,-37.795998,-2.3658674
wc0,-39.49623,-0.017967962
wc0,-37.537243,-2.2973988
wc0,-35.363197,-0.80727077
wc0,-36.467854,0.30874813
wc0,-39.212044,1.4614081
wc0,-35.347626,-1.652878
wc0,-39.323593,-1.7297902
wc0,-38.61086,-2.793259
wc0,-40.07675,0.3782707
wc0,-35.297863,-0.9119135
wc0,-38.37017,-0.060701687
wc0,-39.006107,0.4952252
wc0,-39.67966,-0.47181225
wc0,-39.274956,0.5776133
wc0,-36.733566,-3.5980697
