label,dim1,dim2
wc0,-42.96939,-5.5789466
wc0,-52.188976,-28.798372
wc0,-52.82556,-20.568354
wc0,-53.376297,-28.414911
wc0,-47.14787,-21.603323
wc0,-47.320866,-25.30315
wc0,-52.06969,-22.323896
wc0,-48.10968,-24.283575
wc0,-49.715267,-26.102222
wc0,-47.158615,-24.927486
wc0,-52.59164,-24.069506
wc0,-50.341743,-27.463179
wc0,-53.825443,-27.059435
wc0,-51.50709,-21.90772
wc0,-52.86773,-21.223372
wc0,-48.86876,-21.694424
wc0,-52.414555,-20.564955
wc0,-47.836224,-20.821692
wc0,-48.865005,-21.756275
wc0,-48.965073,-20.972263
wc0,-47.787746,-23.358267
wc0,-53.938076,-22.45481
wc0,-49.60203,-20.95522
wc0,-46.529613,-23.621256
wc0,-49.523296,-20.736364
wc0,-48.578815,-21.974302
wc0,-53.489655,-24.237688
wc0,-49.715164,-20.701202
wc0,-49.485767,-23.084757
wc0,-50.15657,-19.318748
wc0,-48.662453,-20.019562
wc0,-48.626865,-27.935654
wc0,-51.52526,-28.96156
wc0,-51.816128,-31.142426
wc0,-46.394367,-27.13482
wc0,-47.72884,-28.75547
wc0,-50.938927,-23.59643
wc0,-51.434647,-27.696903
wc0,-49.861782,-30.667475
wc0,-48.932858,-31.076406
wc0,-51.532116,-26.94147
wc0,-45.137596,-27.379208
wc0,-48.67411,-27.158705
wc0,-48.06617,-29.210798
wc0,-52.43705,-28.629908
wc0,-49.370575,-29.673803
wc0,-50.200916,-31.73046
wc0,-50.63231,-24.129478
wc0,-47.32356,-26.332888
wc0,-49.6032,-30.21465
wc0,-51.21215,-29.222712
wc0,-47.65314,-30.053888
wc0,-49.653854,-27.94305
wc0,-47.037064,-27.261454
wc0,-50.062767,-19.773788
wc0,-48.419243,-19.801659
wc0,-46.759716,-24.431446
wc0,-47.84599,-24.009172
wc0,-47.909744,-22.721962
wc0,-47.764984,-29.79552
wc0,-49.186764,-28.632143
wc0,-49.569675,-30.210304
wc0,-50.153988,-29.71802
wc0,-47.690838,-31.635473
wc0,-50.74195,-31.174873
wc0,-46.278046,-26.912071
wc0,-48.826584,-30.703949
wc0,-47.428272,-26.690033
wc0,-49.720142,-30.420963
wc0,-52.25732,-29.932665
wc0,-45.690052,-30.969849
wc0,-46.831234,-26.557234
wc0,-51.859642,-23.213879
wc0,-53.766563,-21.129356
wc0,-52.70516,-23.157673
wc0,-52.90654,-24.267021
wc0,-54.23325,-23.212662
wc0,-50.548462,-21.867193
wc0,-53.6595,-21.096693
wc0,-48.04724,-21.237614
wc0,-51.69594,-29.618992
wc0,-49.37318,-22.536549
wc0,-51.29148,-25.463045
wc0,-49.356926,-20.372808
wc0,-47.812847,-23.043295
wc0,-49.71067,-19.040657
wc0,-48.327335,-19.73512
wc0,-49.106544,-24.394808
wc0,-48.845654,-22.82868
wc0,-47.168983,-25.8018
wc0,-47.74127,-27.665333
wc0,-48.60209,-27.975103
wc0,-50.094646,-31.820684
wc0,-47.466297,-25.865328
wc0,-52.00189,-28.153143
wc0,-47.30004,-27.044998
wc0,-51.991154,-28.099712
wc0,-49.75957,-28.00554
wc0,-52.221474,-28.30271
wc0,-45.78161,-27.74707
wc0,-52.081364,-26.547081
wc0,-50.337147,-24.600622
wc0,-50.22741,-28.24584
wc0,-48.274914,-24.98196
wc0,-51.36735,-30.135813
wc0,-46.687683,-26.086632
wc0,-51.59025,-25.908669
wc0,-50.624092,-29.323444
wc0,-53.692554,-26.986156
wc0,-48.498806,-26.233282
wc0,-50.823387,-24.842308
wc0,-47.818466,-25.402979
wc0,-49.837048,-23.643242
wc0,-47.08767,-27.058855
wc0,-47.46135,-27.021591
wc0,-51.364845,-22.486582
wc0,-51.66363,-27.558847
wc0,-50.528187,-28.05411
wc0,-51.39533,-29.07984
wc0,-54.371033,-25.229893
wc0,-51.776505,-26.83047
wc0,-47.002823,-28.838701
wc0,-49.467228,-25.550669
wc0,-49.991653,-25.966072
wc0,-49.085014,-26.031693
wc0,-48.998344,-27.611784
wc0,-49.157024,-25.277163
wc0,-53.737293,-26.487896
wc0,-52.465527,-20.710379
wc0,-46.646896,-21.762226
wc0,-52.02065,-22.334843
wc0,-48.108875,-30.009106
wc0,-49.556026,-27.03368
wc0,-50.351616,-29.842352
wc0,-53.18336,-28.594719
wc0,-49.0059,-31.711401
wc0,-48.779037,-25.61655
wc0,-53.507866,-29.008764
