label,dim1,dim2
wc0,33.660503,25.982328
wc0,21.610714,2.6413038
wc0,21.072458,3.2076914
wc0,6.7606115,-8.97545
wc0,17.444822,-3.7751927
wc0,26.174261,-3.343604
wc0,31.094107,-1.8935128
wc0,10.491239,-13.8137865
wc0,17.383284,-11.437718
wc0,15.062286,-12.072142
wc0,26.3831,-19.544853
wc0,16.515512,4.3820176
wc0,19.056437,-20.242151
wc0,22.916609,-12.9825735
wc0,17.834234,0.5533444
wc0,39.573048,-9.359361
wc0,20.462818,-11.790018
wc0,27.899874,-2.1066954
wc0,0.53060067,-16.558357
wc0,13.117925,-13.480568
wc0,19.736311,-0.0195302
wc0,26.602695,-1.6362699
wc0,10.176209,-7.0341907
wc0,26.444748,-4.090148
wc0,4.4237685,-11.900004
wc0,21.121878,3.1761625
wc0,19.688507,-12.51876
wc0,32.41423,-7.926209
wc0,18.861803,-8.712485
wc0,24.129719,-21.71622
wc0,24.209307,-19.442299
wc0,21.83948,-11.948856
wc0,23.851913,-3.759346
wc0,31.435003,-8.230516
wc0,20.266142,-4.0755177
wc0,33.547966,-4.3045917
wc0,23.723,-0.34346578
wc0,21.15744,-7.6428857
wc0,26.164724,-18.19138
wc0,24.627771,-17.597626
wc0,15.806949,2.625282
wc0,15.182223,-21.271568
wc0,18.842829,-7.6633563
wc0,27.140186,-9.820248
wc0,31.408628,17.075235
wc0,30.634363,2.2311504
wc0,9.325575,-1.9267079
wc0,20.166468,-19.739092
wc0,23.930058,2.564127
wc0,17.57818,11.568134
wc0,18.82578,3.750937
wc0,12.047654,-7.7498193
wc0,12.806648,-10.919467
wc0,10.251771,-23.07375
wc0,29.877262,0.8169272
wc0,22.052675,-11.955078
wc0,21.156868,-4.008997
wc0,24.727701,-21.133904
wc0,25.91976,-8.413355
wc0,29.4964,-10.51841
wc0,28.283924,-5.1912236
wc0,29.856833,-5.520941
wc0,33.754063,-18.726868
wc0,23.01594,-21.8303
wc0,19.134827,-1.3023393
wc0,12.666164,-1.4822432
wc0,21.711618,-18.785858
wc0,27.407366,-5.0924916
wc0,7.2508407,-6.2005844
wc0,16.271288,-3.9892924
wc0,17.993843,-16.466208
wc0,24.151415,-19.329641
wc0,14.051617,-2.3615987
wc0,15.426012,3.4824026
wc0,24.75528,-1.50038
wc0,20.236176,0.15822546
