label,dim1,dim2
wc0,37.13565,23.812458
wc0,35.035774,-1.8167591
wc0,33.59335,-0.074047275
wc0,44.21922,4.455584
wc0,25.90399,-7.0248237
wc0,37.216084,1.4212427
wc0,39.006195,11.740034
wc0,42.32586,0.9295987
wc0,38.625687,3.340848
wc0,43.732292,4.525226
wc0,41.34272,12.475376
wc0,37.78624,11.331251
wc0,41.485977,8.181503
wc0,42.08363,1.7169535
wc0,28.256231,2.8605611
wc0,39.983288,1.2799962
wc0,40.92597,3.052334
wc0,37.723503,3.8966837
wc0,37.545506,9.073349
wc0,46.89801,4.793996
wc0,27.43205,5.810518
wc0,34.589207,2.9482749
wc0,31.571638,8.533252
wc0,36.86701,5.750867
wc0,28.64393,11.698499
wc0,34.941334,4.4311557
wc0,41.80445,4.495189
wc0,38.43112,1.1703448
wc0,27.129484,6.094007
wc0,45.20738,2.6620123
wc0,33.134697,6.6608896
wc0,47.974636,1.2815176
wc0,42.65641,0.7931419
wc0,36.220596,10.224359
wc0,35.687466,3.1494942
wc0,31.88056,5.8194366
wc0,30.374935,2.2976496
wc0,40.744587,5.8255844
wc0,43.746964,2.1270275
wc0,25.565802,-12.509757
wc0,29.016674,-4.721204
wc0,30.494902,0.09961128
wc0,31.127443,-8.664616
wc0,30.506477,2.0353546
wc0,20.357603,-17.983435
wc0,36.91167,5.9438396
wc0,25.397676,-2.2376916
wc0,33.93063,11.122132
wc0,24.684378,-2.0143387
wc0,35.400192,-5.75328
wc0,40.583603,3.5796604
wc0,35.48411,-1.2712095
wc0,44.523716,5.7850986
wc0,35.10814,-0.8749613
wc0,40.744152,13.341296
wc0,45.23607,6.8254757
wc0,41.081596,4.8963327
wc0,28.80561,9.350382
wc0,32.493694,9.880567
wc0,33.136517,13.0650625
wc0,38.049763,10.436692
wc0,36.78087,16.522179
wc0,35.24922,1.5836853
wc0,41.929184,3.9907713
wc0,40.107243,5.236001
wc0,40.1777,5.313287
wc0,41.129314,-2.567058
wc0,40.67928,10.63325
wc0,20.76726,4.0683517
wc0,27.782495,1.2807158
wc0,38.26351,3.2722645
wc0,42.70712,3.4614153
wc0,36.5237,1.16532
wc0,42.4357,2.5902917
wc0,39.461117,8.086965
wc0,38.295815,14.554255
wc0,41.28691,6.135686
wc0,34.514202,9.709672
wc0,33.098785,3.4290905
wc0,37.744537,-2.8737774
wc0,38.33975,0.40752053
wc0,33.179314,3.330187
wc0,34.408134,6.21391
wc0,38.55506,8.351607
wc0,35.646122,-3.4670057
wc0,33.724014,1.2551748
wc0,35.856827,2.7849655
wc0,29.76452,5.0932155
wc0,36.320606,7.557959
wc0,33.102985,16.104794
wc0,39.133984,0.9082488
wc0,28.29133,3.0186546
wc0,34.24954,9.308118
wc0,37.096317,0.26877084
wc0,42.692726,4.534008
wc0,34.338245,3.0863059
wc0,34.155163,5.611811
wc0,34.55321,17.31392
wc0,36.066776,-2.518236
wc0,37.916714,1.6680859
wc0,30.309858,-3.5670578
wc0,32.51431,10.433988
wc0,26.772959,3.3972216
wc0,41.377144,12.110542
wc0,27.708605,6.471281
wc0,38.563602,14.693511
wc0,40.48265,3.5852795
wc0,37.156723,7.951428
wc0,41.640724,5.281413
wc0,28.619581,6.774057
wc0,34.842907,2.7396283
wc0,38.952465,9.959017
wc0,31.49406,1.5820339
wc0,45.211754,9.983118
wc0,38.044487,-0.015984656
wc0,29.077785,11.00758
wc0,31.089344,14.108159
wc0,32.41921,3.7072241
wc0,34.743958,15.879726
wc0,42.083584,-7.155545
wc0,30.611568,14.447775
wc0,30.865292,6.1940923
wc0,32.95959,0.017899523
wc0,32.64868,5.42542
wc0,33.735336,10.296051
wc0,20.170898,1.7644526
wc0,35.937103,-0.8602909
wc0,30.907259,11.484718
wc0,30.195972,12.542817
wc0,41.752384,14.044493
wc0,33.23356,11.278302
wc0,38.790146,9.341545
wc0,43.270332,14.032437
wc0,46.419037,1.8838814
wc0,32.88251,5.681289
wc0,30.60226,4.46051
wc0,46.22426,-0.0490403
wc0,30.945396,6.118153
wc0,30.930904,0.65137553
wc0,36.98603,13.328225
wc0,30.72404,14.340047
wc0,40.592934,0.7830472
wc0,25.140024,2.1045945
wc0,30.916151,11.371227
wc0,39.39215,-1.1840819
wc0,30.89645,-0.64761394
wc0,34.759617,-4.3670697
wc0,37.52127,1.2030402
wc0,33.105022,14.474255
wc0,24.089884,6.1981635
wc0,27.166273,2.780435
wc0,29.22418,11.207274
wc0,37.627216,-5.653342
wc0,47.586685,-0.87663406
wc0,38.55487,9.782089
wc0,35.327526,-4.392498
wc0,47.52809,1.9028895
wc0,46.4847,8.374485
wc0,31.930172,1.2903388
wc0,44.56514,3.9330535
wc0,39.362404,8.842961
wc0,33.24833,11.430349
wc0,36.556404,2.4776511
wc0,45.307568,6.882866
wc0,38.276733,12.19659
wc0,31.427788,-0.17997116
wc0,31.176044,7.058547
wc0,30.890297,10.072892
wc0,31.274496,6.7089987
wc0,31.376827,15.876004
wc0,30.153656,9.6334095
wc0,36.00931,-2.3967378
wc0,32.02078,10.719537
wc0,30.929415,8.70258
wc0,32.165245,1.2545868
wc0,23.999886,2.9569402
wc0,23.71436,10.8084345
wc0,26.243355,6.67708
wc0,30.548319,4.2388387
wc0,23.469137,0.5781542
wc0,26.33439,6.6820946
wc0,34.426315,15.622249
wc0,31.805693,-4.576513
wc0,24.389847,-7.227198
wc0,19.399261,-14.816466
wc0,26.816357,5.3960824
wc0,26.891655,-15.125509
wc0,21.13016,-3.7783453
wc0,24.096905,-3.4421642
wc0,21.589693,-12.5049305
wc0,20.97487,-13.6373205
wc0,30.491426,4.224063
wc0,24.588581,-2.765864
wc0,20.785357,-3.1370091
wc0,24.38548,-9.940263
wc0,24.51453,-10.207139
wc0,30.592987,-17.098585
wc0,26.564217,1.7438341
wc0,22.432072,-12.868355
wc0,30.197245,2.4781184
wc0,24.592892,-5.88091
wc0,31.347412,-3.135582
wc0,48.89635,2.4208727
wc0,42.59979,3.5657687
wc0,30.582117,1.1879313
wc0,32.955658,6.85229
wc0,24.827883,-2.5300436
wc0,36.64004,6.0340886
wc0,29.510996,1.4306014
wc0,31.562195,0.8645342
wc0,26.511902,-8.396129
wc0,33.17618,10.966899
wc0,29.599209,6.310822
wc0,35.15335,7.6956472
wc0,27.470722,4.0900846
wc0,36.419613,8.725618
wc0,35.64403,14.019669
wc0,47.037567,4.2972903
wc0,33.968452,2.6438658
wc0,34.42398,-1.9722216
wc0,37.348843,-2.0211294
wc0,33.068546,6.304977
wc0,30.738743,-3.5126677
wc0,33.809864,-2.456471
wc0,38.260845,4.4523673
wc0,35.709732,1.5736114
wc0,32.9184,-4.127376
wc0,37.186115,7.4070473
wc0,33.53172,4.0781803
wc0,42.426357,1.7465068
wc0,39.581726,2.2203946
wc0,43.49624,13.892581
wc0,43.92138,5.3414774
wc0,29.382214,7.5815887
wc0,35.171677,-3.48541
wc0,37.15743,11.999373
wc0,35.24966,6.626677
wc0,32.898666,4.5622835
wc0,32.64701,-2.0086193
wc0,32.18066,1.5981653
wc0,49.777172,2.2601995
wc0,32.943527,8.238863
wc0,36.543022,10.900442
wc0,30.496044,9.942261
wc0,34.551834,13.478211
wc0,32.47433,-3.02357
wc0,26.7771,-8.211262
wc0,31.267435,11.102514
wc0,33.693874,-4.2889676
wc0,35.766182,7.411727
wc0,28.771788,0.6003467
wc0,44.365612,9.865716
wc0,34.277992,-1.2278008
wc0,38.8589,11.611567
wc0,34.947407,12.085546
wc0,44.5287,-3.6285152
wc0,29.799492,5.5120378
wc0,43.9932,9.942489
wc0,35.70808,13.333812
wc0,43.681248,9.079584
wc0,42.207565,5.4394116
wc0,46.597397,8.478595
wc0,28.269428,3.0301802
wc0,37.24967,5.175598
wc0,36.25093,11.676343
wc0,45.327385,8.529053
wc0,37.7062,-0.06824204
wc0,34.93987,-2.506814
wc0,32.262775,12.507184
wc0,23.296753,4.5835066
wc0,35.808422,4.66828
wc0,32.381966,15.853201
wc0,30.151253,-0.15546365
wc0,34.12239,5.187757
wc0,36.62466,-3.8604252
wc0,34.513477,-4.170513
wc0,38.793896,3.9342427
wc0,43.67685,8.755791
wc0,36.81637,9.4201765
wc0,30.545835,-7.4079394
wc0,28.955242,5.420799
wc0,32.809525,0.25487253
wc0,23.111261,8.250102
wc0,35.146183,14.114243
wc0,27.211336,11.88431
wc0,38.682735,8.535377
wc0,34.764793,14.427111
wc0,44.13285,13.369548
wc0,37.677128,-0.977369
wc0,34.48008,-0.97074264
wc0,34.682613,-0.07997225
wc0,22.401289,-0.63117945
wc0,34.437366,-5.361745
wc0,44.88458,2.026056
wc0,38.290188,2.0429857
wc0,37.581543,10.7574415
wc0,43.447662,11.99998
wc0,35.816685,2.1579494
wc0,41.971127,9.82124
wc0,42.578365,7.7854233
wc0,35.749382,10.060042
wc0,30.838165,-3.3181276
wc0,29.22741,5.4566345
wc0,37.28722,-5.919664
wc0,33.020607,-1.4482276
wc0,34.843376,6.374003
wc0,33.836624,5.534741
wc0,30.272133,-2.2160127
wc0,40.328297,-6.5018845
wc0,37.71743,11.043245
wc0,34.950985,7.273809
wc0,41.194622,13.632111
wc0,33.676678,1.8554206
wc0,30.183933,-1.7701188
wc0,39.538364,12.014554
wc0,28.981216,1.8704711
wc0,37.010498,3.89126
wc0,28.188574,1.0379101
wc0,31.18391,2.6908398
wc0,34.236217,1.6770068
wc0,36.13363,16.688192
wc0,30.1643,1.2830842
wc0,24.21738,-0.5069555
wc0,35.14849,14.079529
wc0,26.035166,11.597772
wc0,25.072931,-2.483897
wc0,33.25638,6.7564154
wc0,37.04139,7.675015
wc0,36.226364,2.370504
wc0,28.516026,6.5644054
wc0,31.571182,3.6729126
wc0,30.033916,7.4674535
wc0,32.241234,3.9017353
wc0,35.196854,16.45087
wc0,39.37322,3.581057
wc0,40.729923,2.3455853
wc0,29.412,7.5459623
wc0,27.571032,8.196342
wc0,39.82109,6.667518
wc0,39.62807,2.4521525
wc0,34.160984,2.887413
wc0,36.300976,-2.747335
wc0,41.720207,-1.8916028
wc0,35.16807,6.227138
wc0,37.03943,-5.984312
wc0,38.1072,2.4011729
wc0,31.657093,-3.6704323
wc0,38.052227,9.173355
wc0,29.709185,11.203247
wc0,44.34717,4.6083217
wc0,35.67197,2.2500508
wc0,32.632786,6.662731
wc0,35.99248,-1.2415258
wc0,29.743284,1.3836395
wc0,29.374205,2.2450645
wc0,38.140316,-0.4891709
wc0,33.391422,11.767898
wc0,38.194912,5.4436193
wc0,28.145647,1.5645359
wc0,41.09769,14.077246
wc0,34.627518,-1.8630369
wc0,27.137257,4.6332192
wc0,30.148726,-4.600726
wc0,32.651962,13.446379
wc0,30.840473,8.764039
wc0,32.592808,7.870428
wc0,35.826805,10.540668
wc0,41.20037,12.003622
wc0,38.358837,2.8265672
wc0,42.28509,10.602452
wc0,37.765003,2.906381
wc0,40.321575,10.968585
wc0,38.085022,1.5003054
wc0,37.02212,1.9455212
wc0,38.151436,-0.16587096
wc0,37.871105,13.749643
wc0,36.795414,9.293139
wc0,34.333153,5.3038063
wc0,34.81362,0.845474
wc0,37.127388,13.372152
wc0,36.35476,6.3919287
wc0,36.30047,11.779315
wc0,38.82819,2.1986852
wc0,32.57509,9.810544
wc0,31.338306,8.697464
wc0,36.42315,2.445185
wc0,33.983784,0.723062
wc0,38.075657,0.79060596
wc0,41.546432,1.5095932
wc0,35.285477,1.2358841
wc0,32.70164,9.828645
wc0,36.72335,2.4154398
wc0,34.868362,-1.1217626
wc0,36.427834,-4.9158177
wc0,19.386765,5.778269
wc0,28.454885,1.1869744
wc0,29.236958,2.7208166
wc0,31.13572,-1.8416744
wc0,30.606194,12.443233
wc0,32.56088,-11.174322
wc0,24.695269,-1.4337468
wc0,30.94646,-3.6185915
wc0,30.643349,5.505378
wc0,32.047256,1.909909
wc0,43.291405,5.935832
wc0,36.961956,9.316217
wc0,28.710678,11.795136
wc0,29.202719,-9.0474825
wc0,29.770073,3.5342474
wc0,22.347809,-4.5772734
wc0,33.7494,-0.93749136
wc0,29.317059,15.473673
wc0,32.47808,9.595328
wc0,28.84016,0.6680965
wc0,33.297844,14.392084
wc0,29.33081,8.177406
wc0,44.517345,9.117601
wc0,34.184494,-0.88680387
wc0,38.178852,-2.5852852
wc0,30.580313,-1.0604963
wc0,23.414057,11.141482
wc0,25.503906,10.97065
wc0,34.587646,-5.780308
wc0,28.857384,9.158474
wc0,34.939873,8.244162
wc0,44.49773,-3.5728872
wc0,39.487015,2.7493477
wc0,38.148296,14.461365
wc0,35.622158,-0.12036185
wc0,42.02076,-0.43876332
wc0,35.40473,-5.1538587
wc0,35.492725,1.2870585
wc0,42.33949,10.85163
wc0,34.397663,-3.3476462
wc0,30.076715,4.4107265
wc0,40.620678,2.811946
wc0,35.675407,3.2856536
wc0,28.892542,6.4710503
wc0,33.321964,8.443368
wc0,39.71631,3.2345197
wc0,36.380085,4.1649246
wc0,33.190266,5.3574986
wc0,35.22773,-2.1954103
wc0,34.837055,8.07804
wc0,30.76086,-3.5170865
wc0,33.929283,6.5240955
wc0,42.85071,-0.86018133
wc0,38.181248,0.60588145
wc0,37.018944,16.6083
wc0,32.099407,-3.712007
wc0,27.52552,4.041267
wc0,32.390514,2.951132
wc0,45.131313,2.686728
wc0,38.931564,1.5929672
wc0,38.251835,12.148134
wc0,39.160667,4.555128
wc0,36.73442,10.789386
wc0,41.697548,0.827198
wc0,29.337486,5.60832
wc0,44.753227,10.753157
wc0,31.164015,-8.476499
wc0,23.054007,-17.828846
wc0,30.452513,-9.105479
wc0,30.214567,-7.6209545
wc0,31.388262,-7.6555223
wc0,33.194668,1.3529553
wc0,30.145443,6.2500844
wc0,34.798832,8.075183
wc0,31.376059,2.5419505
wc0,36.75954,8.470911
wc0,31.205082,9.676104
wc0,24.326796,-2.2583463
wc0,32.26614,16.408766
wc0,24.75424,-5.7622056
wc0,30.20097,14.630794
wc0,23.615257,10.998889
wc0,24.584017,-2.000433
wc0,22.316582,-0.54988503
wc0,20.083115,1.2376789
wc0,28.82346,12.554292
wc0,39.874336,6.9946613
wc0,26.933483,-7.5075483
wc0,43.55493,-3.9025774
wc0,32.411503,3.9580657
wc0,34.76269,9.96342
wc0,39.486385,7.7580905
wc0,38.445415,7.346526
wc0,34.90139,0.19418955
wc0,33.75974,0.26746175
wc0,34.177383,3.9006524
wc0,32.791058,10.477743
wc0,35.682934,4.9598823
wc0,36.31557,6.323226
wc0,40.196243,6.9700475
wc0,40.401302,-1.3729599
wc0,32.87888,8.312536
wc0,39.147686,-3.0845728
wc0,41.278862,13.871119
wc0,25.705996,11.708585
wc0,36.29699,0.4092502
wc0,43.859776,5.2762203
wc0,37.660725,4.274226
wc0,41.693287,2.945689
wc0,42.725437,7.6378927
wc0,32.625973,16.012669
wc0,40.046112,12.821412
wc0,34.698544,-5.3262644
wc0,32.139717,11.65444
wc0,41.94698,-0.6532403
wc0,37.27763,2.9038234
wc0,31.758034,3.2759159
wc0,30.245329,2.2227488
wc0,29.459831,-4.9906716
wc0,36.581562,7.534421
wc0,37.72921,2.2047412
wc0,40.144794,2.4177537
wc0,32.370495,9.961097
wc0,27.820127,1.8232993
wc0,37.380806,9.047578
wc0,41.07414,2.2558112
wc0,42.69416,8.521788
wc0,40.132076,11.022401
wc0,26.382616,0.49763507
wc0,36.17022,3.8057196
wc0,37.58537,-1.0385705
wc0,32.953815,5.591374
wc0,34.581116,10.601327
wc0,27.448446,7.9984775
wc0,21.876595,-3.6546426
wc0,26.684505,-11.896685
wc0,23.443157,-4.5782976
wc0,23.307068,-6.9501143
wc0,48.13391,3.4125865
wc0,21.680769,-5.739009
wc0,32.98229,-5.7876797
wc0,35.604877,0.13332155
wc0,26.128784,4.753295
wc0,34.381844,3.7926507
wc0,22.964745,-17.090147
wc0,32.53478,3.1704917
