label,dim1,dim2
wc0,-22.841053,13.321719
wc0,0.7221879,-23.182528
wc0,-10.072678,-14.745218
wc0,-16.273811,-16.046736
wc0,-17.312279,-20.215672
wc0,-16.339088,-16.18131
wc0,-5.976163,-18.442978
wc0,-19.201591,-17.72488
wc0,-15.211186,-19.741127
wc0,-8.84986,-16.56977
wc0,-20.312773,-13.02863
wc0,11.374911,-20.902946
wc0,-16.905266,-19.18305
wc0,-7.597915,-22.271652
wc0,8.984036,-21.078323
wc0,-12.324369,14.037532
wc0,-16.767696,-20.606958
wc0,8.941898,-18.325806
wc0,-14.828825,-11.889788
wc0,0.25078613,-24.54694
wc0,-10.245269,-23.734352
wc0,2.3583603,-26.811876
wc0,-17.241114,-20.32091
wc0,-15.768672,-15.813346
wc0,3.2260966,-23.476234
wc0,11.479123,-27.404516
wc0,-0.24092905,-31.513882
wc0,-1.9481331,-22.723585
wc0,16.189291,-22.495384
wc0,-5.1845417,-23.009007
wc0,3.1631212,-28.950499
wc0,20.922514,-28.952839
wc0,3.9586334,-23.836521
wc0,-15.731558,-22.61445
wc0,-13.167985,-14.252555
wc0,-3.2097538,-23.002794
wc0,3.1938062,-25.666166
wc0,7.044037,-17.60901
wc0,7.1194177,-34.370815
wc0,10.345618,-42.503414
wc0,3.0354114,-22.888775
wc0,-12.983731,-21.365717
wc0,10.606758,-18.752913
wc0,7.4924645,10.678166
wc0,4.9093823,-21.510906
wc0,-19.614887,-15.53125
wc0,14.198283,-19.3505
wc0,-0.104138516,-27.10895
wc0,-14.365477,-21.08977
wc0,11.279798,-20.829445
wc0,3.5626538,-21.363062
wc0,-17.819492,-16.139711
wc0,-12.046989,-17.707462
wc0,13.664429,-22.370478
wc0,-14.945773,-17.941618
wc0,-8.806028,14.98647
wc0,-9.972189,-20.014494
wc0,-10.940848,-17.745783
wc0,8.196421,-18.018503
wc0,-7.2135205,-18.319632
wc0,-18.822424,-19.013855
wc0,-1.6534618,-21.907087
wc0,-16.456709,-15.93779
wc0,-17.162481,-24.97991
wc0,4.8876357,-27.79437
wc0,5.7861347,-35.19656
wc0,-11.947071,-27.150703
wc0,8.24378,-25.179596
wc0,12.262262,-33.925488
wc0,5.969256,-25.502491
wc0,10.345524,-41.06686
wc0,8.060248,-28.690632
wc0,11.028556,-38.573544
wc0,5.0327907,-35.95919
wc0,-16.899351,-25.995985
wc0,-9.414431,-34.079334
wc0,8.171414,-22.829802
wc0,17.994364,-5.042946
wc0,2.3152544,-25.979784
wc0,-12.591706,-21.426163
wc0,-10.586636,-25.08031
wc0,-14.664492,-22.081572
wc0,-10.055767,-26.355034
wc0,12.499618,-21.504686
wc0,6.8798003,-19.954222
wc0,16.144642,-22.45013
wc0,4.571853,-20.227291
wc0,-8.53657,-25.953684
wc0,-1.3361812,0.7206056
wc0,-2.60956,-20.720537
wc0,4.9016776,-21.18536
wc0,0.52385813,-30.156197
wc0,-10.246487,-22.131166
wc0,-14.65651,-26.17333
wc0,5.4074755,-42.232635
wc0,9.9170685,-20.49864
wc0,-16.726416,-29.81752
wc0,-14.970552,-26.74195
wc0,1.8233365,-23.645325
wc0,3.935598,-23.898815
wc0,-3.1606858,-20.734142
wc0,-1.2427044,-25.883926
wc0,14.940149,-26.016188
wc0,-7.6464524,-28.91903
wc0,12.189846,-25.567768
wc0,-3.4178612,-38.582405
wc0,-3.7750883,-17.278877
wc0,-21.421352,-22.852427
wc0,8.904427,-29.9468
wc0,-19.052938,-25.440685
wc0,-6.5617356,-39.58673
wc0,-3.7613125,-35.99945
wc0,9.63984,-25.30364
wc0,-2.731319,-5.6485333
wc0,-14.094317,-12.859307
wc0,-4.4777265,-18.287004
wc0,-14.752626,-26.50706
wc0,-9.947359,-21.956453
wc0,-12.657773,-18.45947
wc0,8.969944,-21.1472
wc0,1.8083107,-24.068514
wc0,-15.51191,-18.570717
wc0,-18.706026,-20.208527
wc0,9.473092,7.9077516
wc0,13.770521,-19.31386
wc0,-0.009099635,-35.87089
wc0,5.151034,-11.179139
wc0,-15.209632,-13.984472
wc0,11.952198,-17.884636
wc0,17.201563,-19.224993
wc0,2.893869,-6.2347074
wc0,10.735688,-18.993423
wc0,3.494685,-5.7972
wc0,14.229246,-17.566898
wc0,14.914269,-17.16552
wc0,9.2379265,-19.709063
wc0,2.2045698,-36.1246
wc0,6.4987545,-19.672443
wc0,-16.054827,-12.4699545
wc0,-11.534661,-19.36278
wc0,-13.129108,-13.67581
wc0,16.75844,-20.861437
wc0,-6.811021,16.36587
wc0,11.914109,-18.015902
wc0,-15.658434,-21.208452
wc0,-11.621881,-20.698002
wc0,16.363907,-29.78496
wc0,9.012289,-29.716238
wc0,3.1157217,-22.050922
wc0,-12.851148,-24.584234
wc0,4.6813884,-27.382853
wc0,-15.7304,-22.634054
wc0,-13.449364,-19.981989
wc0,-23.376303,-9.111818
wc0,-13.815459,-21.96969
wc0,0.49841747,-24.125845
wc0,-18.724579,-13.986947
wc0,5.137716,-22.819698
wc0,9.027781,-30.348568
wc0,10.827467,-23.581064
wc0,-10.100146,-19.81517
wc0,11.584072,-23.63598
wc0,9.827002,-17.206522
wc0,-16.321438,-20.7061
wc0,-19.384665,-21.185856
wc0,5.2785497,-19.593899
wc0,-16.318827,-18.855965
wc0,1.3840547,9.093463
wc0,10.669115,-18.912283
wc0,14.803445,-25.48334
wc0,5.080616,-19.869228
wc0,-18.996689,-17.381641
wc0,-12.180724,-15.866232
wc0,16.844988,-17.782358
wc0,8.227925,-19.676239
wc0,-19.62127,-18.118196
wc0,9.791102,-19.706337
wc0,-18.808706,-23.09315
wc0,-7.149146,-26.126297
wc0,-21.261322,-17.219484
wc0,3.18283,-44.44283
wc0,13.588781,-26.58568
wc0,10.9659,-22.469984
wc0,-13.824056,-27.914822
wc0,16.290464,-25.679129
wc0,16.20764,-25.684364
wc0,5.9408607,-37.373558
wc0,3.1601596,-32.57495
wc0,-3.2505553,-24.406458
wc0,-18.422897,-24.003635
