label,dim1,dim2
wc0,17.95346,1.6228251
wc0,-24.940807,-42.558544
wc0,-28.676867,-31.235788
wc0,-21.644844,-40.163544
wc0,-20.776709,-29.908916
wc0,-23.566435,-39.252907
wc0,-29.337538,-41.20163
wc0,-23.71549,-41.012527
wc0,-26.211802,-41.256756
wc0,-20.903269,-40.555374
wc0,-20.520788,-38.744995
wc0,-30.36369,-39.78763
wc0,-24.041006,-39.5905
wc0,-21.817787,-31.639305
wc0,-22.767551,-28.881067
wc0,-24.103172,-25.209194
wc0,-27.217165,-36.395767
wc0,-25.70252,-38.23189
wc0,-24.83914,-36.115803
wc0,-20.331593,-30.395586
wc0,-26.734207,-27.908178
wc0,-31.292648,-27.890957
wc0,-33.806545,-26.140633
wc0,-26.554106,-17.305294
wc0,-32.450428,-25.241034
wc0,-29.874517,-29.193283
wc0,-28.5997,-13.878084
wc0,-29.397833,-32.069584
wc0,-17.588806,-27.25861
wc0,-31.29753,-30.487759
wc0,-22.617027,-20.038162
wc0,-27.660496,-23.875387
wc0,-29.178596,-25.531527
wc0,-20.356398,-29.202784
wc0,-24.575829,-24.100769
wc0,-29.992344,-18.743862
wc0,-21.963453,-24.524523
wc0,-28.667118,-21.27225
wc0,-30.337519,-18.374567
wc0,-34.105354,-21.278965
wc0,-27.696518,-15.5652
wc0,-35.21858,-29.71938
wc0,-23.119108,-40.385723
wc0,-21.293362,-36.84397
wc0,-22.380903,-37.376503
wc0,-28.629248,-40.412136
wc0,-19.555166,-34.59466
wc0,-33.799355,-30.799488
wc0,-24.340237,-41.90678
wc0,-22.484835,-36.667847
wc0,-22.040329,-39.375107
wc0,-25.768719,-37.888668
wc0,-26.147108,-37.925476
wc0,-23.607212,-40.331406
wc0,-18.329811,-34.83326
wc0,-21.008442,-35.0099
wc0,-24.94747,-40.022884
wc0,-24.093914,-38.819412
wc0,-25.219536,-33.82797
wc0,-26.375202,-36.507988
wc0,-18.379702,-34.652122
wc0,-21.665405,-40.514782
wc0,-26.378494,-41.581272
wc0,-23.100922,-37.843132
wc0,-27.57928,-17.369568
wc0,-43.877483,-16.838411
wc0,-27.54397,-17.22231
wc0,-33.173275,-20.985304
wc0,-30.138184,-16.2508
wc0,-22.723652,-31.789856
wc0,-30.770685,-18.207285
wc0,-25.15431,-23.056002
wc0,-31.733568,-18.954472
wc0,-35.469215,-21.700062
wc0,-32.102608,-20.825764
wc0,-30.395102,-28.303196
wc0,-26.034676,-23.791422
wc0,-28.576357,-24.770351
wc0,-23.944311,-31.691462
wc0,-22.893808,-28.44567
wc0,-30.564432,-28.131544
wc0,-34.19782,-32.06783
wc0,-25.560123,-30.309801
wc0,-27.275345,-31.003199
wc0,-22.190477,-31.155235
wc0,-24.52197,-30.913431
wc0,-22.263842,-25.463192
wc0,-23.535456,-28.069057
wc0,-21.252218,-31.96761
wc0,-23.192509,-32.128777
wc0,-19.162672,-32.35828
wc0,-35.899555,-29.278435
wc0,-32.98007,-33.671585
wc0,-32.108826,-28.912247
wc0,-33.11505,-17.93095
wc0,-23.476603,-30.67624
wc0,-27.837105,-26.851278
wc0,-35.658535,-27.001097
wc0,-31.91576,-27.769625
wc0,-25.428507,-29.01446
wc0,-26.257711,-18.122929
wc0,-35.220272,-29.915287
wc0,-27.082115,-29.07194
wc0,-25.939407,-12.6013565
wc0,-44.071438,-19.958612
wc0,-34.180134,-21.289997
wc0,-43.496086,-18.492558
wc0,-28.744436,-16.598331
wc0,-29.256876,-3.0289707
wc0,-31.480629,-23.358957
wc0,-43.264214,-17.159817
wc0,-33.206352,-22.243204
wc0,-34.193195,-5.9467325
wc0,-24.514818,-40.108665
wc0,-25.850126,-20.531294
wc0,-31.283424,-21.980406
wc0,-32.18071,-32.187836
wc0,-27.175276,-26.724781
wc0,-24.30078,-29.349232
wc0,-25.026262,-36.623585
wc0,-23.90211,-32.326122
wc0,-22.475885,-35.063198
wc0,-21.519323,-39.80881
wc0,-25.004023,-37.922592
wc0,-26.473198,-40.08664
wc0,-33.3238,-15.926457
wc0,-22.463158,-35.343025
wc0,-19.661694,-37.072735
wc0,-26.086906,-40.41081
wc0,-29.364807,-41.199203
wc0,-24.061298,-40.00265
wc0,-21.000912,-36.978985
wc0,-21.723837,-35.97151
wc0,-25.39639,-39.08314
wc0,-24.306719,-36.022243
wc0,-23.196766,-40.736225
wc0,-33.33136,-18.375923
wc0,-18.065077,-36.442978
wc0,-20.899183,-29.401386
wc0,-27.151962,-36.348667
wc0,-25.822144,-38.317276
wc0,-26.927197,-35.41637
wc0,-18.31586,-32.222546
wc0,-31.063381,-24.762695
wc0,-35.43945,-31.560656
wc0,-33.900383,-26.171839
wc0,-16.33134,-29.195225
wc0,-27.926746,-17.617775
wc0,-25.5118,-29.49098
wc0,-28.07648,-22.480722
wc0,-34.98946,-27.943943
wc0,-21.710566,-35.069195
wc0,-20.370134,-38.745792
wc0,-20.671288,-33.271687
wc0,-31.886215,-36.25505
wc0,-25.061636,-30.717077
wc0,-19.7891,-35.73171
wc0,-20.971842,-34.4497
wc0,-32.052383,-17.37658
wc0,-24.430656,-29.28548
wc0,-21.388739,-33.95662
wc0,-28.347216,-34.10217
wc0,-21.214209,-35.39111
wc0,-28.32349,-39.034863
wc0,-30.206781,-38.18453
wc0,-28.758049,-40.365105
wc0,-22.480652,-35.799267
wc0,-21.170794,-36.459324
wc0,-28.673552,-36.208042
wc0,-30.896852,-20.763214
wc0,-26.538887,-38.787514
wc0,-23.474508,-41.64505
wc0,-18.479376,-36.058292
wc0,-18.964836,-33.38839
wc0,-27.18735,-38.735165
wc0,-24.910254,-40.23817
wc0,-23.288145,-39.870316
wc0,-29.99676,-34.176983
wc0,-23.20165,-25.394346
wc0,-31.476963,-32.667522
wc0,-33.770947,-18.015026
wc0,-32.10414,-21.780245
wc0,-30.820189,-29.966726
wc0,-34.6806,-20.115847
wc0,-29.713272,-18.565313
wc0,-34.48867,-19.519163
wc0,-35.967934,-24.588764
wc0,-42.952457,-16.226444
wc0,-28.755947,-16.047825
wc0,-21.820349,-24.391695
wc0,-30.375628,-31.441456
wc0,-26.448622,-36.81155
wc0,-18.195843,-28.706905
wc0,-30.676003,-37.78276
wc0,-20.859503,-25.482626
wc0,-37.05627,-30.456612
wc0,-29.598751,-32.229584
wc0,-24.183397,-27.122925
wc0,-22.484343,-22.10899
wc0,-25.531853,-24.58668
wc0,-29.552958,-36.332237
wc0,-21.32757,-32.181396
wc0,-29.30999,-41.220173
wc0,-28.133286,-27.120008
wc0,-27.791986,-35.10332
wc0,-27.29919,-22.185152
wc0,-24.919333,-26.27831
wc0,-22.91374,-30.656029
wc0,-20.435825,-28.776901
wc0,-27.209118,-26.548193
wc0,-33.04815,-32.736855
wc0,-20.747473,-34.92163
wc0,-22.751999,-32.066837
wc0,-23.01275,-39.554855
wc0,-23.597172,-26.994967
wc0,-31.693012,-30.70869
wc0,-33.21982,-30.046515
wc0,-26.100588,-9.057801
wc0,-42.952705,-19.723816
wc0,-28.782122,-16.620125
wc0,-30.358244,-19.339746
wc0,-35.56345,-24.131546
wc0,-30.951004,-18.271484
wc0,-26.691664,-12.97287
wc0,-19.344608,-36.412987
wc0,-26.559345,-40.976933
wc0,-28.24808,-17.12946
wc0,-42.682648,-20.134884
wc0,-34.82054,-24.21798
wc0,-27.555845,-29.96642
wc0,-23.828985,-31.796225
wc0,-26.03244,-26.929283
wc0,-28.320215,-31.361803
wc0,-33.153694,-28.198748
wc0,-31.383205,-33.77278
wc0,-21.278059,-25.068956
wc0,-22.334145,-39.47128
wc0,-24.083557,-33.71
wc0,-28.114172,-31.222641
wc0,-26.017132,-30.865038
wc0,-21.198746,-36.599895
wc0,-25.448023,-30.157148
wc0,-25.860157,-26.6244
wc0,-28.537233,-31.58964
wc0,-22.436403,-35.052063
wc0,-19.477905,-32.584652
wc0,-25.235092,-27.98581
wc0,-26.873112,-40.471962
wc0,-25.399494,-32.51923
wc0,-26.720951,-32.18574
wc0,-31.018997,-34.627495
wc0,-20.622496,-29.10774
wc0,-25.894972,-29.634611
wc0,-29.385212,-26.875381
wc0,-25.005192,-34.165676
wc0,-18.408878,-31.640808
wc0,-20.402372,-25.883018
wc0,-35.088043,-28.464764
wc0,-28.284794,-37.456184
wc0,-33.139847,-26.197346
wc0,-22.370068,-31.449858
wc0,-21.364399,-27.797907
wc0,-36.00642,-11.015779
wc0,-43.006317,-19.532467
wc0,-37.771393,-8.256563
wc0,-43.18273,-19.510368
wc0,-28.602987,-18.942657
wc0,-35.893467,-10.9071245
wc0,-24.916178,-30.313179
wc0,-22.020876,-40.963512
wc0,-29.570503,-23.116903
wc0,-22.12053,-30.70183
wc0,-23.736324,-24.50879
wc0,-29.550571,-32.69021
wc0,-22.167301,-29.907425
wc0,-23.221699,-35.301445
wc0,-19.8985,-31.49969
wc0,-28.540775,-33.29524
wc0,-21.025745,-33.621696
wc0,-34.08116,-26.223278
wc0,-18.965338,-36.327835
wc0,-26.94305,-17.253082
wc0,-26.769218,-20.042845
wc0,-30.902071,-22.16937
wc0,-26.460535,-23.599064
wc0,-24.344536,-27.795061
wc0,-24.189215,-26.582329
wc0,-37.417374,-29.394258
wc0,-31.918835,-20.0996
wc0,-29.118855,-30.71028
wc0,-28.118708,-27.585888
wc0,-22.07392,-37.2734
wc0,-29.49463,-29.22318
wc0,-34.48732,-28.93437
wc0,-32.99248,-31.168077
wc0,-25.004343,-31.640902
wc0,-25.77545,-15.9863615
wc0,-49.118965,-14.669385
wc0,-34.516098,-22.154522
wc0,-30.800255,-17.543768
wc0,-30.805128,-17.322863
