label,dim1,dim2
wc0,8.57931,8.278742
wc0,7.2189198,6.8300223
wc0,-3.736215,7.3881726
wc0,0.9388205,-6.1666713
wc0,-5.6085653,1.8165331
wc0,3.3869178,-0.7685615
wc0,2.7944608,-3.504502
wc0,-1.6168603,2.9667842
wc0,0.30827534,-3.1780922
wc0,8.214563,-6.777031
wc0,5.423212,-6.3227167
wc0,8.172861,3.0945454
wc0,5.925186,2.844687
wc0,-7.5899825,1.4764184
wc0,0.7508259,7.499697
wc0,-3.9167094,1.3163912
wc0,5.2202263,2.46821
wc0,2.4913929,-5.7066936
wc0,-5.4623904,3.0020843
wc0,5.266569,4.089751
wc0,-2.203585,4.579421
wc0,7.328936,0.10633935
wc0,4.365287,-1.2923832
wc0,10.01922,0.9807598
wc0,-2.1536205,-5.6582203
wc0,2.4012685,-0.70928377
wc0,-4.7391686,5.014096
wc0,7.061844,-3.2148492
wc0,-4.4736576,5.4873967
wc0,-8.998858,-4.7387004
wc0,6.201752,-5.248409
wc0,-4.718459,7.4810987
wc0,5.6172624,4.824447
wc0,-4.962026,-8.375542
wc0,-1.2002747,5.066692
wc0,0.2569075,4.5275207
wc0,-1.3553101,1.3148378
wc0,7.3189793,2.7478406
wc0,6.047313,-5.7119675
wc0,-5.9129405,5.862527
wc0,-2.1692934,2.0364752
wc0,-2.4680145,9.999579
wc0,1.9897135,-1.751962
wc0,4.6343937,-6.207359
wc0,-10.466934,6.5064497
wc0,-0.54205877,-1.8701651
wc0,5.592616,-4.9041915
wc0,9.957721,-3.3301427
wc0,3.672722,6.2809777
wc0,-0.101742454,0.52908945
wc0,1.7386409,7.154726
wc0,3.7608478,-3.3993065
wc0,-7.0915904,4.9868503
wc0,-4.7623553,9.234289
wc0,3.2260225,5.604888
wc0,7.4125943,-4.41558
wc0,1.9431968,5.964143
wc0,-3.4977295,10.028836
wc0,-1.051664,2.9070196
wc0,-5.545015,8.184427
wc0,8.087707,-1.1111592
wc0,3.5332527,-3.8637
wc0,-3.3996534,-5.4731865
wc0,-0.06915824,-8.532509
wc0,-4.9384623,3.7246363
wc0,8.520372,0.696447
wc0,5.1018605,-5.102589
wc0,-3.447883,-6.586965
wc0,4.2542405,-6.9027157
wc0,-5.817914,4.246415
wc0,3.7038846,-4.6724367
wc0,5.8317394,-3.983797
wc0,1.7857143,-1.7755506
wc0,-6.9632435,2.819704
wc0,1.5298202,4.9871826
wc0,-7.4904733,1.0977211
wc0,4.1388493,0.36724874
wc0,1.8691605,0.28492677
wc0,-7.3484325,6.719648
wc0,2.0955067,-2.5176158
wc0,-9.714165,4.086782
wc0,8.339245,2.4373395
wc0,-0.2798897,-0.26141194
wc0,3.4801424,-5.439252
wc0,1.933199,-0.4771341
wc0,5.3997793,-1.0237
wc0,5.065331,-8.092203
wc0,-7.4923563,5.1639547
wc0,-5.3744693,-6.1105485
wc0,8.522516,-1.8438659
wc0,5.1492257,-1.8586773
wc0,4.219907,4.673938
wc0,4.218025,-8.862966
wc0,3.1525517,-0.32785124
wc0,2.0191154,-5.0937133
wc0,2.0012891,1.2846614
wc0,3.3283873,1.4611162
wc0,2.0925379,-2.0927286
wc0,5.1190658,-3.2873955
wc0,-3.631689,8.7032995
wc0,-3.8178663,6.268541
wc0,1.3278947,-10.622553
wc0,-3.1534584,-5.2999907
wc0,5.9814205,-6.6618314
wc0,9.280284,-0.14266622
wc0,0.8614062,11.091839
wc0,2.8386803,-0.40237668
wc0,-2.1913311,-3.6687996
wc0,7.4120555,-3.5292594
wc0,-11.536046,4.176815
wc0,-3.9658368,3.4437747
wc0,-4.5488977,7.269446
wc0,-0.0746565,-4.797497
wc0,-5.6440086,6.369124
wc0,7.053132,-4.3908105
wc0,0.6442591,-5.43879
wc0,-4.8962293,10.657987
wc0,7.331473,-1.5581948
wc0,0.36309347,10.253263
wc0,10.84909,-4.0332675
wc0,9.466622,4.966555
wc0,3.2701564,0.031055767
wc0,9.78296,1.0140007
wc0,10.68263,1.0871477
wc0,-0.4686973,1.7726879
wc0,5.4241986,-5.367247
wc0,4.1936917,-2.5357206
wc0,-9.298687,7.678881
wc0,4.8942757,0.06601661
wc0,0.18708476,10.15359
wc0,-8.036285,8.346714
wc0,-5.794655,9.821502
wc0,3.2080617,6.1886888
wc0,-9.111811,6.6169853
wc0,3.8756382,-1.7673354
wc0,1.8048117,4.8189993
wc0,-2.8675005,1.0471003
wc0,-5.97628,4.956295
wc0,3.3569095,4.1728415
wc0,-0.66070527,7.597446
wc0,-1.3738043,1.8239352
wc0,-11.847887,2.8521953
wc0,7.215521,-5.4102592
wc0,3.035333,-5.22639
wc0,6.5419374,-2.4186769
wc0,-1.292768,1.2963631
wc0,4.3762193,-4.5378656
wc0,-1.0658959,6.7536144
wc0,5.5637865,-4.9517307
wc0,1.2197689,-0.10651018
wc0,-7.313431,10.146431
wc0,7.6928954,-6.1790915
wc0,5.7164583,-6.422909
wc0,-1.2679892,-0.8933582
wc0,0.8295296,0.7594642
wc0,-3.1114223,-5.699163
wc0,-4.1494575,8.353051
wc0,1.8765093,9.224907
wc0,2.5707684,3.9744258
wc0,6.5117397,-5.8202925
wc0,0.08402918,-0.4434387
wc0,6.6157436,-6.948338
wc0,8.083982,-4.3050447
wc0,-9.08841,-1.3597035
wc0,-3.6847262,6.1983542
wc0,5.233107,-0.021862414
wc0,-2.0370007,7.4368815
wc0,-2.576419,-2.6242707
wc0,-6.9485826,-7.223076
wc0,5.9135127,0.6517417
wc0,4.452697,1.4447087
wc0,-2.4936426,-0.25843748
wc0,4.61303,-7.0119486
wc0,3.918208,-2.6147215
wc0,7.197586,3.0857954
wc0,3.7251663,9.829344
wc0,-7.6997366,7.33132
wc0,7.4189467,4.891791
wc0,7.4378533,-0.8826991
wc0,-6.2770953,9.221677
wc0,7.900254,-5.1497746
wc0,3.0019586,-0.5031994
wc0,10.627647,-2.090475
wc0,-6.3399243,6.502906
wc0,-0.38054165,6.2371025
wc0,3.060618,6.063913
wc0,-5.9960475,3.9324455
wc0,3.439897,-4.35362
wc0,-4.7097445,8.930087
wc0,6.252563,2.843069
wc0,3.621859,-1.7465937
wc0,6.1302347,5.946976
wc0,-4.1420045,0.09997505
wc0,-3.6972857,-3.0778842
wc0,2.451355,-2.620583
wc0,-3.9847155,6.1893005
wc0,5.2717867,-4.187142
wc0,5.564058,-6.4211726
wc0,4.40654,-4.581555
wc0,1.3491449,6.2704077
wc0,0.28542274,3.4021764
wc0,-3.2376978,1.9389716
wc0,-8.784325,3.493466
wc0,8.027321,-5.160991
wc0,-7.7083845,4.9396944
wc0,1.1515801,8.376245
wc0,2.8583705,1.5647881
wc0,-4.757493,10.206291
wc0,3.9691575,-2.597781
wc0,-3.1257143,2.8194146
wc0,-6.946891,1.593171
wc0,5.2721696,-3.218784
wc0,2.7033713,8.049203
wc0,-8.368179,6.0494523
wc0,6.44129,-2.622521
wc0,1.0841448,-2.0372255
wc0,0.79381555,-4.314691
wc0,-1.3550446,-1.5867032
wc0,-0.40426892,8.837941
wc0,6.2696095,-3.5542495
wc0,7.71404,-7.274763
wc0,-3.1533537,-0.23537005
wc0,5.919561,-3.3066742
wc0,0.7321668,2.7875307
wc0,8.156794,-3.7856164
wc0,9.758904,-2.6121743
wc0,-1.5348212,-3.9117525
wc0,-6.891259,5.6647444
wc0,-6.7903233,6.9971304
wc0,-11.601782,5.1479654
wc0,-1.3108075,-4.691977
wc0,2.8057747,1.8461215
wc0,-10.830451,-3.146942
wc0,6.15464,-6.1752725
wc0,3.5785673,-6.9466105
wc0,-5.167535,7.567149
wc0,9.0741625,3.3693924
wc0,-1.62336,9.990265
wc0,-9.1157055,2.383887
wc0,-6.637443,8.952932
wc0,0.7960064,5.8355536
wc0,-3.503544,6.255289
wc0,-4.009586,3.513784
wc0,7.201255,1.3958081
wc0,2.524586,9.258054
wc0,-1.300497,6.881517
wc0,-1.8555952,4.2696533
wc0,-12.699133,4.606792
wc0,4.414195,-0.83811086
wc0,-3.7972014,4.379944
wc0,7.9764085,-0.8027073
wc0,7.7887554,5.8957605
wc0,6.833874,4.6904197
wc0,-12.827697,2.657464
wc0,-0.46726143,6.153855
wc0,-7.473666,6.953236
wc0,4.894325,-3.5312958
wc0,-0.068371624,0.23327552
