label,dim1,dim2
wc0,-28.014145,30.848839
wc0,26.543676,0.08745235
wc0,19.2406,25.478659
wc0,17.655716,-4.9803004
wc0,-16.392387,12.016332
wc0,10.69331,-14.037957
wc0,6.682113,-24.165617
wc0,12.424054,10.407415
wc0,21.746773,-15.174381
wc0,10.461001,-17.37608
wc0,5.98277,-21.727694
wc0,17.025644,-11.331898
wc0,15.949116,4.3012843
wc0,18.14879,9.512287
wc0,18.099073,12.183158
wc0,1.5853494,3.0807796
wc0,7.246377,-26.951122
wc0,7.997499,-24.732182
wc0,-1.8471996,16.340986
wc0,15.898924,-19.988335
wc0,10.730933,24.748474
wc0,9.814583,-16.212906
wc0,15.954176,-13.70331
wc0,15.814494,-22.115587
wc0,11.692338,16.912899
wc0,18.062016,-21.081337
wc0,6.358943,8.315805
wc0,10.94525,-18.323477
wc0,14.528072,-3.1155913
wc0,21.994328,-2.4471102
wc0,3.8232226,-36.399002
wc0,18.885117,2.844127
wc0,2.5345168,-23.358135
wc0,15.772754,28.92092
wc0,11.227579,-11.964237
wc0,12.160345,0.726704
wc0,15.427534,1.248533
wc0,9.979244,-16.262993
wc0,7.478404,-36.272343
wc0,21.184738,9.732222
wc0,19.384909,6.239793
wc0,16.978163,24.578796
wc0,1.0716763,-22.890926
wc0,1.0363768,-36.12771
wc0,29.727993,4.636333
wc0,5.3211684,-12.687787
wc0,3.078521,-32.81165
wc0,7.6533713,-15.46504
wc0,9.795325,3.3238335
wc0,22.434282,7.9508204
wc0,16.456604,-6.7613
wc0,7.95984,-26.402561
wc0,19.361837,12.796221
wc0,15.590922,0.59884644
wc0,6.288145,-9.523958
wc0,10.30988,-26.237791
wc0,7.1180725,-20.73427
wc0,6.2518964,3.9246764
wc0,0.37490973,-25.824215
wc0,3.1266155,29.62799
wc0,10.031587,-19.191702
wc0,-7.844055,-25.837263
wc0,10.96043,17.842903
wc0,15.841848,25.596891
wc0,-1.8532544,10.887461
wc0,6.20028,-26.605734
wc0,5.737736,-26.110281
wc0,14.810732,6.944389
wc0,1.5188857,-32.362503
wc0,17.913345,16.883944
wc0,1.4284133,-33.330112
wc0,6.9751086,-27.198204
wc0,3.1522956,3.6672301
wc0,17.44194,16.593166
wc0,12.10288,1.2491146
wc0,24.425987,9.802543
wc0,4.7161946,-13.9279175
wc0,-5.7183514,-27.132391
wc0,16.311571,14.962444
wc0,1.519003,-28.085474
wc0,20.208353,21.199776
wc0,0.09018848,-17.544394
wc0,0.68221253,6.5840173
wc0,11.648585,-36.38058
wc0,3.0637782,-26.79599
wc0,13.237769,-18.408789
wc0,8.089961,-29.77204
wc0,19.864943,17.115335
wc0,18.365906,4.089531
wc0,-1.1014677,-15.617476
wc0,14.946045,-11.127962
wc0,7.393309,-16.639858
wc0,20.415344,-0.05609006
wc0,3.2031248,-16.997988
wc0,-2.7967875,-18.861206
wc0,1.9413102,4.949411
wc0,17.998367,-0.82395405
wc0,-6.6978393,-30.80699
wc0,5.3397694,-20.370264
wc0,16.088976,-3.2870307
wc0,14.1645,18.596941
wc0,21.439009,-25.096521
wc0,25.690218,2.343049
wc0,3.47859,-28.616997
wc0,2.1686184,-14.559724
wc0,7.8178315,10.036837
wc0,0.70015615,-32.92252
wc0,16.837734,30.783636
wc0,2.747446,-15.623701
wc0,14.275858,-0.19133241
wc0,24.282518,13.894869
wc0,16.561947,19.679766
wc0,-16.127926,1.5289973
wc0,17.110043,8.377076
wc0,5.1526995,-26.872908
wc0,-3.5033185,-34.301292
wc0,16.45283,23.383144
wc0,-5.0902634,-14.608713
wc0,6.23498,-6.972103
wc0,7.6147146,-4.551928
wc0,7.2165265,-25.690224
wc0,-1.356135,-19.077295
wc0,10.551332,-22.254412
wc0,-0.4240559,-5.3114347
wc0,15.855244,25.341677
wc0,6.08315,-22.997429
wc0,16.455729,-27.024504
wc0,9.66669,16.296349
wc0,19.806692,-9.428817
wc0,4.2088223,-2.6602852
wc0,8.434568,14.485924
wc0,15.7709,36.64498
wc0,7.47398,-12.668447
wc0,12.728921,20.197165
wc0,-5.489748,-35.116188
wc0,6.346352,-6.1713996
wc0,16.425226,17.404936
wc0,28.810581,12.086493
wc0,13.29627,0.5390427
wc0,8.061696,13.895178
wc0,11.638447,19.847862
wc0,8.293145,-17.878222
wc0,-6.3742127,-25.19716
wc0,-26.746101,-4.568594
wc0,7.1815004,-25.42666
wc0,11.121805,16.119385
wc0,7.251441,-36.48379
wc0,3.3813179,-10.533413
wc0,12.311398,-23.121634
wc0,6.4339104,-2.109335
wc0,16.300108,18.617233
wc0,-14.151642,-27.750557
wc0,1.976544,-32.77473
wc0,-14.132513,-9.974802
wc0,-17.914797,-8.481793
wc0,20.150503,-4.0239134
wc0,9.317035,28.56963
wc0,14.938195,9.8018055
wc0,12.597626,6.5019383
wc0,10.064464,-36.907764
wc0,1.2333387,2.1535397
wc0,4.8075743,-32.52929
wc0,9.236465,-14.265821
wc0,22.466768,9.869071
