label,x,y
wc0,1.3654257,6.7643967
wc0,0.8174944,6.819917
wc0,2.2369487,6.907842
wc0,1.9792717,7.29905
wc0,2.3490355,7.1013103
wc0,1.4471699,7.8041387
wc0,0.5355273,7.3673706
wc0,1.0582355,5.6575913
wc0,2.7790992,7.059312
wc0,2.5588806,7.604423
wc0,0.56848353,7.867114
wc0,0.1005772,7.4379153
wc0,2.2507184,8.024502
wc0,1.8211439,5.021492
wc0,2.9149952,5.608302
wc0,-0.050842747,7.7907224
wc0,0.55081517,8.312272
wc0,3.3632312,7.038583
wc0,0.6163386,5.050064
wc0,-0.34614992,6.1450334
wc0,-0.086784974,5.6359468
wc0,2.3988829,8.40559
wc0,1.1265275,8.677252
wc0,3.0572817,5.1833425
wc0,-0.7211733,6.81584
wc0,3.6949732,6.8046217
wc0,-0.7727471,6.7436
wc0,3.221641,8.018605
wc0,2.92974,4.92775
wc0,3.6633518,5.927759
wc0,1.0763268,8.978451
wc0,1.7595341,4.2758336
wc0,-0.41169804,8.425214
wc0,3.4533556,8.23398
wc0,3.974124,5.9276977
wc0,1.890079,9.180881
wc0,0.7801131,4.212102
wc0,-0.55796313,8.4322
wc0,-0.64552313,8.342885
wc0,-1.1669565,7.230336
wc0,1.0513245,9.255864
wc0,-1.1554922,6.095108
wc0,3.4559283,8.440133
wc0,1.7467679,9.320209
wc0,2.1668947,9.287046
wc0,1.9834834,9.36593
wc0,-0.13945642,4.440312
wc0,3.0520372,9.224548
wc0,4.581543,6.955994
wc0,2.668228,3.7179086
wc0,3.926163,4.550171
wc0,0.84732795,9.732552
wc0,4.686399,7.206209
wc0,1.477021,9.830864
wc0,4.7140594,7.1167984
wc0,3.997776,4.5036182
wc0,2.7475553,9.581385
wc0,4.7516108,7.1544247
wc0,2.5319452,9.708147
wc0,4.4477534,5.0239177
wc0,-0.9965685,9.000318
wc0,4.4767547,8.080112
wc0,2.186733,3.3669505
wc0,-0.95881295,4.382465
wc0,3.0109904,3.5221078
wc0,-1.9450961,7.5698814
wc0,3.2060647,3.6007729
wc0,0.9671035,10.013636
wc0,2.581056,3.3392577
wc0,4.9574046,7.227123
wc0,4.9661756,5.968565
wc0,-1.9488089,5.819192
wc0,3.5707,9.381193
wc0,-1.0164496,4.240786
wc0,-1.8321542,8.2514925
wc0,-1.8248628,5.331487
wc0,4.5917664,8.353154
wc0,-1.511915,4.72256
wc0,1.797282,10.175416
wc0,5.1566787,6.5573955
wc0,-1.9156263,5.287868
wc0,-2.2638457,7.2337427
wc0,-1.514624,4.5353475
wc0,2.7918198,10.061448
wc0,3.0569134,9.961652
wc0,2.8559058,3.0788515
wc0,3.2340074,9.876099
wc0,4.0055604,9.38772
wc0,-1.0009326,9.634875
wc0,5.320139,6.9912686
wc0,-0.46725714,3.449497
wc0,-2.1855595,8.391608
wc0,0.9037099,2.7953334
wc0,-2.2366734,8.431486
wc0,-2.6398263,7.315188
wc0,-0.460664,3.172882
wc0,-0.6081304,3.2322934
wc0,-1.4606724,3.882679
wc0,4.079949,9.724002
wc0,0.13291515,2.7911782
wc0,-2.764246,6.2582297
wc0,4.1720357,9.744645
wc0,0.716624,2.5609434
wc0,1.0846095,2.4653308
wc0,-2.2932405,9.009241
wc0,3.3781338,2.6542163
wc0,3.9346526,2.867484
wc0,1.9186077,10.910614
wc0,5.1506095,3.9883761
wc0,3.4529688,2.5682697
wc0,2.9902742,2.366849
wc0,5.6930375,8.124804
wc0,0.16416441,2.4639125
wc0,-1.1739582,3.1645916
wc0,1.3688979,2.1826189
wc0,5.6195917,4.3764925
wc0,0.11335229,11.030932
wc0,4.928219,9.839041
wc0,4.2730803,2.571726
wc0,-3.0170345,8.858628
wc0,-2.306695,3.7809157
wc0,-3.229063,5.410836
wc0,-3.3909492,7.841039
wc0,1.3603106,1.8147793
wc0,6.0690136,4.733124
wc0,-1.7770867,10.398257
wc0,-2.8070548,9.361748
wc0,-3.4842956,6.0884027
wc0,5.31249,9.6053505
wc0,0.99610955,11.46193
wc0,-3.0786002,8.971113
wc0,-1.7711674,10.515016
wc0,-0.43901002,11.222384
wc0,-1.4384257,2.7650568
wc0,2.840681,1.7888122
wc0,2.523988,1.7228018
wc0,2.4741023,11.387863
wc0,4.5536866,10.47012
wc0,-3.7041283,6.7394667
wc0,5.672218,3.5169942
wc0,2.2409546,1.5431654
wc0,6.4673676,8.106396
wc0,-2.377931,3.2856638
wc0,-3.595895,8.544543
wc0,0.09898765,11.667573
wc0,-2.4728053,3.298605
wc0,-2.5897849,10.260769
wc0,-2.8919904,9.934787
wc0,6.3901973,8.710801
wc0,4.929792,2.3595145
wc0,-3.9440112,5.8698845
wc0,-2.4397614,3.0865817
wc0,-1.6034933,2.3331637
wc0,-3.5786684,9.175109
wc0,2.6092749,11.823043
wc0,-0.20832261,11.834923
wc0,-0.859674,1.8340751
wc0,1.3093467,1.1868119
wc0,5.999407,9.671442
wc0,0.521929,12.01677
wc0,0.4414349,1.2842076
wc0,3.9990156,1.5624639
wc0,2.690768,1.16951
wc0,3.9861581,1.5435528
wc0,3.178833,1.2617569
wc0,7.022089,7.666445
wc0,1.3113786,1.0907851
wc0,-0.25633755,1.4258204
wc0,-4.074485,5.402948
wc0,-0.5172933,11.93089
wc0,1.2904749,12.190094
wc0,-3.0598419,10.32249
wc0,-4.229955,8.0046015
wc0,-3.8887215,4.7474656
wc0,-3.9444473,4.868777
wc0,1.2271153,0.99392503
wc0,-4.3119283,7.782396
wc0,6.047025,2.922713
wc0,2.2927272,0.94676375
wc0,-3.583479,9.79149
wc0,4.8466845,1.7486117
wc0,5.8096538,2.5372975
wc0,0.7022182,0.9550695
wc0,-4.4368777,6.224566
wc0,5.6462994,2.3492327
wc0,1.2809961,12.356981
wc0,7.233783,4.8943615
wc0,4.861816,1.665485
wc0,7.2220426,4.7284594
wc0,5.8978033,2.4455152
wc0,7.5276775,6.356181
wc0,-4.188822,9.091856
wc0,-4.645375,6.6773763
wc0,4.9780316,11.344262
wc0,7.6064863,7.020759
wc0,-2.5589411,11.347914
wc0,-4.4201446,8.815953
wc0,0.7297337,0.68818194
wc0,-3.4840946,10.461328
wc0,-2.5785618,11.345696
wc0,3.9720082,0.98206496
wc0,-4.0549207,4.1519585
wc0,0.57652867,12.604818
wc0,3.924518,12.0620775
wc0,6.8552136,3.368046
wc0,-4.820658,7.1413307
wc0,3.6754105,0.801464
wc0,7.280771,8.800194
wc0,-4.6907063,5.404167
wc0,4.4834714,11.889403
wc0,7.2742624,3.8909054
wc0,-1.856973,12.028543
wc0,6.0299306,10.803558
wc0,7.89171,6.5884914
wc0,7.8445296,5.600077
wc0,7.9248095,6.371412
wc0,1.9942079,0.35914913
wc0,7.9971166,6.1950836
wc0,-4.8979483,5.3295474
wc0,8.039811,6.0435143
wc0,7.905835,7.8161817
wc0,6.734309,2.6026168
wc0,7.370511,3.6003911
wc0,-1.4254451,1.033622
wc0,0.9849772,12.987288
wc0,5.414033,1.2775266
wc0,3.7402449,0.44115874
wc0,5.3885746,1.1600939
wc0,-0.53006095,12.906985
wc0,-2.7977753,11.885088
wc0,8.268925,6.5396647
wc0,-1.624323,0.9358656
wc0,0.9963186,0.062282685
wc0,7.44867,9.77665
wc0,-3.70361,2.511973
wc0,-3.6257427,11.314468
wc0,-5.309123,8.223977
wc0,5.6188006,11.814782
wc0,7.458574,9.913981
wc0,-5.5402145,7.4396195
wc0,-4.9830413,9.692053
wc0,-1.4929994,12.944352
wc0,-3.5839653,2.0340106
wc0,-5.418647,8.812342
wc0,4.1056952,12.913571
wc0,6.865105,1.873464
wc0,-5.4568887,8.837436
wc0,-5.2618356,9.445899
wc0,-5.175225,4.211947
wc0,0.7440045,-0.32790613
wc0,7.7380724,10.013983
wc0,8.28614,8.874153
wc0,5.229355,12.554322
wc0,5.4281607,0.47566345
wc0,-0.3183566,13.565353
wc0,-2.2690768,0.69268334
wc0,-5.929413,6.842807
wc0,5.820413,12.264189
wc0,6.3682055,1.0308837
wc0,8.7913885,5.1656113
wc0,7.912473,10.093012
wc0,8.9127445,7.1726694
wc0,8.964325,6.502602
wc0,-1.442303,13.411596
wc0,4.832474,13.000448
wc0,-4.6643457,2.6887975
wc0,-3.897847,11.984309
wc0,-2.5506973,0.6064233
wc0,-6.032814,8.240864
wc0,3.6899364,-0.5427624
wc0,-5.3804426,10.108853
wc0,9.092902,6.164823
wc0,-5.920407,5.0820165
wc0,2.7710454,13.8168
wc0,8.747864,4.0706453
wc0,7.7270055,10.817663
wc0,7.9884014,2.4500654
wc0,-5.9252825,4.6738935
wc0,3.2441514,-0.8089813
wc0,-3.9445157,12.28111
wc0,-2.138938,13.474422
wc0,9.303731,6.1680045
wc0,0.6677352,14.187506
wc0,-1.0591538,13.912568
wc0,1.8728625,-1.01118
wc0,-2.6136596,13.299958
wc0,-6.1091037,4.833637
wc0,-6.307711,8.710345
wc0,5.117622,-0.45795208
wc0,8.471957,10.294068
wc0,9.197162,4.2255335
wc0,0.70445144,14.405992
wc0,5.6489654,-0.27518386
wc0,-6.177671,9.510572
wc0,7.445908,1.114468
wc0,-4.8310504,11.801796
wc0,-1.6586518,-0.48132715
wc0,-0.23111916,-0.9894582
wc0,-3.5489604,13.039378
wc0,-4.5249147,1.496179
wc1,-2.5058193,-5.705332
wc1,-1.7892392,-6.1170025
wc1,-1.6998867,-5.1606464
wc1,-2.724634,-5.5108666
wc1,-1.9713117,-6.346381
wc1,-1.1552945,-5.5925727
wc1,-1.3205659,-5.1095424
wc1,-2.447236,-4.7634845
wc1,-1.1551214,-6.040156
wc1,-2.9834492,-5.2422023
wc1,-2.5220156,-4.502352
wc1,-1.2238083,-6.6123743
wc1,-2.9530659,-4.7212243
wc1,-1.4098194,-4.4880137
wc1,-2.9526749,-4.542581
wc1,-2.39655,-6.988612
wc1,-0.6284873,-5.2607846
wc1,-1.1341661,-4.5024204
wc1,-3.5582361,-5.5732017
wc1,-0.49011382,-5.496147
wc1,-1.3593487,-7.0938087
wc1,-3.0422933,-6.921129
wc1,-2.7394028,-3.985012
wc1,-0.35821244,-5.0449057
wc1,-3.7641456,-6.1713014
wc1,-1.2169429,-7.30888
wc1,-3.8704622,-5.943536
wc1,-2.4410863,-3.7845626
wc1,-2.682966,-3.8434627
wc1,-3.9096544,-5.1167326
wc1,-2.3494432,-3.6413739
wc1,-0.8378444,-4.0618377
wc1,-0.46675256,-6.985575
wc1,-1.6420891,-7.661562
wc1,-0.45552704,-6.991523
wc1,-0.16943894,-4.845967
wc1,-1.9883934,-3.598715
wc1,-2.63367,-7.6159425
wc1,-2.0306852,-7.725576
wc1,-0.7711586,-3.9985425
wc1,-3.1038013,-3.7339275
wc1,-0.8460342,-7.54113
wc1,-4.291392,-5.5138135
wc1,-3.5510652,-7.266524
wc1,-1.8320234,-3.3986363
wc1,0.18725096,-5.147565
wc1,-3.9089825,-4.2702208
wc1,0.22106105,-6.31986
wc1,-1.7165424,-7.986857
wc1,-2.1958802,-8.004697
wc1,-4.450003,-5.7888007
wc1,0.35043535,-5.3072743
wc1,0.36355472,-5.32426
wc1,0.10257765,-6.9291835
wc1,0.38783804,-5.1491737
wc1,-2.053542,-3.1546898
wc1,-1.186572,-8.04948
wc1,-0.027212722,-4.089413
wc1,-4.7255683,-5.6354847
wc1,-0.20076187,-3.816918
wc1,-4.758819,-5.8502474
wc1,-3.5517209,-3.3694527
wc1,-0.6998925,-3.3463104
wc1,-0.39311874,-7.910134
wc1,0.6515346,-4.950999
wc1,-2.092855,-2.7915936
wc1,-4.966197,-5.37316
wc1,-1.2134019,-2.9307492
wc1,0.11457986,-3.7988894
wc1,0.8557669,-6.386307
wc1,-5.040281,-5.395094
wc1,-5.0000644,-5.0462956
wc1,0.9505849,-5.931656
wc1,-4.2893243,-7.724794
wc1,0.9996608,-6.1695123
wc1,-0.20318611,-3.2785833
wc1,-3.4713645,-2.8625884
wc1,1.101416,-5.977394
wc1,-4.4144754,-3.522092
wc1,-5.256833,-5.9009476
wc1,-4.912284,-7.1068254
wc1,-4.992815,-4.313117
wc1,-1.3986895,-2.5393245
wc1,-2.931372,-8.745335
wc1,-0.0391374,-8.2513485
wc1,-2.9658833,-2.4822173
wc1,0.9906291,-7.09281
wc1,-4.86113,-7.473421
wc1,-1.2288083,-8.899617
wc1,-3.5197728,-2.6494062
wc1,-1.870818,-9.002768
wc1,-1.0242578,-8.877619
wc1,-1.660847,-9.001128
wc1,-1.3196499,-8.957241
wc1,-0.9840899,-8.977835
wc1,-0.1115593,-2.883505
wc1,0.48141313,-3.3690314
wc1,-2.92931,-2.2076108
wc1,-0.6176484,-2.470238
wc1,-3.3252113,-8.993678
wc1,-2.1946504,-2.0646544
wc1,-5.6739597,-6.4041104
wc1,0.5342195,-3.1715205
wc1,-3.8182614,-2.4050903
wc1,-5.732176,-5.075831
wc1,0.127215,-8.700749
wc1,-0.085950665,-2.6097395
wc1,-5.4289775,-7.349917
wc1,1.5613114,-6.804874
wc1,-5.6032205,-6.9968195
wc1,0.004164177,-8.868561
wc1,-0.2678068,-9.018816
wc1,-3.1952224,-2.0586023
wc1,-3.8213122,-2.2721303
wc1,1.649984,-4.8560033
wc1,-4.877355,-3.0392005
wc1,-5.3039527,-7.7917547
wc1,-1.7718295,-9.507528
wc1,-4.2690144,-8.874052
wc1,-5.937238,-6.4872603
wc1,-5.2619963,-8.058944
wc1,1.3384047,-3.7610722
wc1,-5.033941,-8.361974
wc1,-1.4126524,-1.7684255
wc1,0.95075667,-8.403326
wc1,1.7726251,-7.0112886
wc1,1.9626664,-5.51774
wc1,1.4617758,-3.7526636
wc1,1.8730959,-7.2045145
wc1,-6.053714,-7.0025535
wc1,2.1146648,-6.0430655
wc1,1.0011207,-8.627557
wc1,1.1466224,-8.482108
wc1,-6.19102,-4.717527
wc1,-1.3569238,-1.544488
wc1,-5.7718863,-3.5600848
wc1,-5.533314,-3.170246
wc1,-1.0244181,-9.790422
wc1,-0.0859004,-2.0039177
wc1,1.8584888,-7.542278
wc1,-5.922816,-3.7040915
wc1,0.6861566,-2.4790206
wc1,-3.2068717,-1.4864241
wc1,-0.90961546,-1.5496992
wc1,-4.6166286,-2.1045
wc1,-3.3624744,-9.821409
wc1,2.3343885,-5.71843
wc1,2.3290477,-5.5349283
wc1,-1.9436985,-1.2925938
wc1,-0.42473295,-9.784733
wc1,-5.840062,-8.039449
wc1,1.7154169,-3.4941204
wc1,-6.4095945,-6.828195
wc1,2.1655407,-4.399081
wc1,-1.865818,-1.1770004
wc1,2.2440434,-4.3373823
wc1,-6.6687703,-5.712551
wc1,-2.5968845,-1.1007612
wc1,-1.2193677,-1.179016
wc1,-4.670279,-1.777389
wc1,2.367163,-4.329717
wc1,-2.1038752,-0.9943528
wc1,-4.7671967,-9.568116
wc1,-1.8819382,-0.96471506
wc1,-3.69187,-1.2109307
wc1,-6.62902,-7.133031
wc1,-5.1393447,-1.9882362
wc1,-6.0986834,-2.9687362
wc1,2.620737,-4.7325573
wc1,2.4595852,-7.554034
wc1,2.0053363,-3.1929853
wc1,-5.7662964,-2.4399297
wc1,2.773168,-6.7088623
wc1,2.050882,-3.168364
wc1,0.79786426,-9.759597
wc1,-5.5297384,-9.244791
wc1,-3.1316454,-10.487884
wc1,-4.0301795,-10.256119
wc1,-6.1766744,-8.592371
wc1,-2.2147145,-10.644991
wc1,-6.1353106,-8.669326
wc1,2.7776825,-7.199311
wc1,-6.129889,-8.697399
wc1,2.6662118,-4.175555
wc1,-1.1003926,-0.79404414
wc1,2.1398141,-8.644635
wc1,1.5997206,-9.286705
wc1,0.7546743,-1.6182925
wc1,1.7815181,-2.526315
wc1,-2.794902,-0.6170764
wc1,-4.8310018,-10.200487
wc1,-1.5785459,-0.477299
wc1,2.7026756,-8.207489
wc1,-6.5349646,-2.693215
wc1,0.56681746,-1.1773558
wc1,-7.4003544,-6.541036
wc1,-5.3954,-1.4223373
wc1,-6.4399147,-2.4456444
wc1,3.278769,-5.201613
