label,dim1,dim2
wc0,-8.423927,18.30881
wc0,-3.209882,5.4282923
wc0,-4.4201446,8.815953
wc0,-6.070667,6.7321463
wc0,-5.309123,8.223977
wc0,0.26198924,9.238557
wc0,9.018324,-1.4554541
wc0,-0.9214789,4.6914973
wc0,-2.8040783,17.263601
wc0,-3.2801852,3.366054
wc0,0.57652867,12.604818
wc0,10.334845,-3.9828234
wc0,8.600988,-3.6896262
wc0,6.6338654,10.3381815
wc0,-7.823129,1.1281385
wc0,-7.989532,8.450443
wc0,2.581056,3.3392577
wc0,7.5207667,5.4925694
wc0,-4.3119283,7.782396
wc0,-0.481577,14.6645
wc0,0.7297337,0.68818194
wc0,4.3444443,7.7582226
wc0,8.7913885,5.1656113
wc0,2.4310162,2.8365564
wc0,-5.2618356,9.445899
wc0,-2.9219928,12.277298
wc0,-11.519637,6.4584646
wc0,3.146812,-0.72129726
wc0,1.797282,10.175416
wc0,6.858625,8.408372
wc0,11.030108,0.6760935
wc0,9.777356,8.340904
wc0,-2.8070548,9.361748
wc0,1.1282656,4.666435
wc0,-0.7727471,6.7436
wc0,5.285826,1.2940085
wc0,8.964325,6.502602
wc0,-4.826042,10.140704
wc0,4.832474,13.000448
wc0,7.777938,14.32287
wc0,-1.4254451,1.033622
wc0,10.129278,10.221187
wc0,-2.6136596,13.299958
wc0,-2.7862077,3.5998273
wc0,1.3113786,1.0907851
wc0,0.73090965,10.223383
wc0,-7.985321,8.615696
wc0,-4.2477694,6.6549854
wc0,-5.565492,2.238825
wc0,7.697004,3.2209568
wc0,-6.9165506,4.6748633
wc0,5.2454743,-1.2507863
wc0,-5.3065534,15.835605
wc0,-8.032302,7.318468
wc0,0.9037099,2.7953334
wc0,11.483282,-0.35192
wc0,5.117622,-0.45795208
wc0,5.028711,13.055736
wc0,-15.887934,-1.470806
wc0,-9.527851,6.4782043
wc0,-4.5249147,1.496179
wc0,13.824214,-1.8483353
wc0,5.3885746,1.1600939
wc0,5.378867,0.11628683
wc0,5.436578,-1.274799
wc0,1.3130097,18.619755
wc0,-6.1091037,4.833637
wc0,8.831635,9.432186
wc0,4.4477534,5.0239177
wc0,-9.380648,9.458524
wc0,13.529925,2.3294084
wc0,0.44789234,2.2624407
wc0,11.649981,7.0354247
wc0,1.1643659,5.6793494
wc0,8.399901,12.97979
wc0,-3.1203928,8.253059
wc0,0.716624,2.5609434
wc0,1.4771941,0.15697509
wc0,-11.380239,3.6048224
wc0,-3.59969,1.8268343
wc0,9.470091,12.078444
wc0,2.5959961,2.6458535
wc0,-4.645375,6.6773763
wc0,6.6279097,-0.88960844
wc0,4.9780316,11.344262
wc0,-3.8669925,12.973571
wc0,-5.5402145,7.4396195
wc0,3.2466044,3.7174714
wc0,4.861816,1.665485
wc0,13.223902,7.8877683
wc0,9.607924,3.6599705
wc0,2.2187681,13.428642
wc0,-6.68298,10.185625
wc0,7.724306,1.8960481
wc0,-1.7711674,10.515016
wc0,-6.4621024,13.758901
wc0,-7.1962247,2.3874893
wc0,-2.6973257,17.374157
wc0,5.31249,9.6053505
wc0,6.434274,0.13664299
wc0,8.017133,11.433239
wc0,-4.598887,7.4487734
wc0,13.549443,2.233398
wc0,1.1934878,-3.7222404
wc0,5.4281607,0.47566345
wc0,-1.2329104,7.2777863
wc0,5.6489654,-0.27518386
wc0,5.093329,8.360567
wc0,1.8728625,-1.01118
wc0,6.349043,2.0848918
wc0,-1.0591538,13.912568
wc0,4.925805,-10.119463
wc0,3.0109904,3.5221078
wc0,8.851279,1.400225
wc0,8.463157,11.683481
wc0,10.74097,12.441264
wc0,0.5355273,7.3673706
wc0,-7.147343,16.148018
wc0,-1.5173997,15.986367
wc0,11.238192,-5.250123
wc0,8.471957,10.294068
wc0,-1.9624467,12.121866
wc0,11.438181,9.2558975
wc0,-4.456874,14.87263
wc0,3.4529688,2.5682697
wc0,5.0588713,6.852758
wc0,0.1005772,7.4379153
wc0,0.13892719,4.803063
wc0,-2.5589411,11.347914
wc0,7.854972,7.6802187
wc0,-5.9252825,4.6738935
wc0,8.385491,3.7767775
wc0,-5.5747275,16.111757
wc0,13.639092,10.42476
wc0,0.11335229,11.030932
wc0,-3.1684384,4.2445717
wc0,-9.981549,0.33634546
wc0,3.3944964,0.0611783
wc0,11.064207,5.021312
wc0,7.925922,7.7487187
wc0,1.0846095,2.4653308
wc0,-5.4841294,5.0815053
wc0,-5.920407,5.0820165
wc0,7.2441635,8.94196
wc0,8.786275,1.4265344
wc0,3.7899637,2.5393555
wc0,12.447975,4.8954854
wc0,4.648372,0.0024599114
wc0,-7.25416,5.764114
wc0,-8.623972,10.529185
wc0,2.2409546,1.5431654
wc0,8.598754,9.228366
wc0,11.958027,13.250429
wc0,3.460586,10.843605
wc0,2.7904494,-6.2462087
wc0,4.978144,-3.5232518
wc0,7.9248095,6.371412
wc0,12.413255,9.001066
wc0,8.9127445,7.1726694
wc0,5.6905475,7.5038605
wc0,-7.01614,-7.2015624
wc0,-3.141823,6.2848516
wc0,13.919194,7.955515
wc0,-5.788043,10.039067
wc0,-3.6257427,11.314468
wc0,-4.618141,15.093925
wc0,4.0055604,9.38772
wc0,2.8542924,12.740593
wc0,4.5536866,10.47012
wc0,7.8987384,16.85161
wc0,-11.218252,11.579999
wc0,7.8279533,6.4649796
wc0,12.603662,8.9594145
wc0,5.7014894,6.069005
wc0,14.779495,3.07176
wc0,1.2716594,13.955627
wc0,3.997776,4.5036182
wc0,2.5408692,4.6896844
wc0,-5.0154715,13.197902
wc0,7.095997,1.3873085
wc0,14.216961,5.3876057
wc0,4.098213,0.8038051
wc0,9.474653,-4.4173827
wc0,0.09203189,4.728719
wc0,5.1506095,3.9883761
wc0,8.127744,6.470034
wc0,7.9971166,6.1950836
wc0,0.67065406,2.3964047
wc0,-0.55796313,8.4322
wc0,-0.96136075,8.343527
wc0,-3.4842956,6.0884027
wc0,4.6197243,3.0025036
wc0,3.9990156,1.5624639
wc0,-0.69838667,-1.1406654
wc0,0.8174944,6.819917
wc0,8.357742,-1.5871452
wc0,5.999407,9.671442
wc0,-1.6814171,18.015476
wc0,-8.322724,8.415482
wc0,2.7091217,0.35681027
wc0,4.4767547,8.080112
wc0,5.983267,8.305865
wc0,4.4834714,11.889403
wc0,-2.3691022,4.380091
wc0,-3.7041283,6.7394667
wc0,6.119669,-0.4122235
wc0,4.9574046,7.227123
wc0,11.37219,10.349197
wc0,3.924518,12.0620775
wc0,-3.5593488,7.903397
wc0,-1.9156263,5.287868
wc0,-4.9754977,11.909167
wc0,3.0520372,9.224548
wc0,-13.652071,-2.0876184
wc0,-6.602532,12.408146
wc0,9.99849,4.088825
wc0,13.736902,9.250526
wc0,4.583876,9.135587
