label,dim1,dim2
wc0,34.07635,-10.210948
wc0,-10.395988,-1.6475486
wc0,15.332223,-22.56749
wc0,-6.8635,-21.840729
wc0,3.7068582,-18.479979
wc0,10.024233,-35.8435
wc0,-8.823746,-7.7646627
wc0,-17.196394,-16.858316
wc0,-24.35881,-21.802156
wc0,-8.641699,-29.071947
wc0,-8.748581,-34.48546
wc0,16.49007,-20.839033
wc0,-19.69692,-17.079294
wc0,-11.725051,-30.926199
wc0,9.621415,-4.9672823
wc0,-2.5514379,-9.536284
wc0,-29.887283,-20.43246
wc0,3.7296875,-42.376385
wc0,-5.173538,-39.81335
wc0,0.14626576,-29.87961
wc0,-31.170223,-17.38415
wc0,0.32512325,-10.314893
wc0,19.926304,-29.659464
wc0,-10.853166,-20.389791
wc0,10.995598,-17.45833
wc0,-7.570595,-32.62339
wc0,2.1672294,-21.66284
wc0,-31.916435,-17.291725
wc0,-6.180541,-47.29238
wc0,-15.848187,-44.329292
wc0,-19.403751,-15.097465
wc0,-3.5348122,-33.966076
wc0,1.7228677,-0.3262309
wc0,-25.205818,-34.507565
wc0,6.54835,-29.992447
wc0,-12.068525,0.46036157
wc0,9.234277,-18.561857
wc0,-18.58936,-4.4248357
wc0,-9.323369,-40.415558
wc0,-22.905733,-45.565563
wc0,-24.92738,-25.501028
wc0,-17.099876,-33.27339
wc0,-21.80329,-43.06281
wc0,-28.465712,-0.7290786
wc0,1.907942,-3.2772064
wc0,-21.995962,-39.655174
wc0,-20.305813,-3.19743
wc0,-23.726904,-2.9363859
wc0,-12.171441,-17.690546
wc0,-4.8521395,-47.287495
wc0,-15.027596,1.0206925
wc0,2.33647,-33.40484
wc0,-11.690574,-22.646378
wc0,11.319889,-26.888826
wc0,-5.921295,-41.846325
wc0,-3.190826,-46.32574
wc0,-12.963599,-34.30988
wc0,-6.4501824,-17.30874
wc0,-4.5911207,-13.673213
wc0,-12.012823,2.0840082
wc0,13.2615795,3.206558
wc0,1.1203517,-40.151623
wc0,10.962917,-19.523333
wc0,-23.581625,-6.017746
wc0,-9.490147,-30.570562
wc0,-29.204,-23.36426
wc0,-25.802095,-4.7508917
wc0,-18.71894,-30.729744
wc0,-2.3018944,-11.133939
wc0,15.796165,-17.124596
wc0,1.070856,-26.163275
wc0,-21.508224,-3.8439157
wc0,-30.215939,-13.366712
wc0,-12.765546,-35.42791
wc0,-12.794398,-32.429718
wc0,3.66653,-35.657448
wc0,-4.707808,-6.60329
wc0,-5.5172467,-9.1402855
wc0,-21.710527,-15.929337
wc0,-31.43433,-22.425104
wc0,-12.594942,-30.015936
wc0,16.116901,-27.270844
wc0,-0.63607377,-28.638811
wc0,-9.035964,-13.448085
wc0,-20.701355,-35.031765
wc0,-23.338768,-4.7149553
wc0,9.19139,-14.598984
wc0,19.691946,-23.840044
wc0,-31.990032,-10.770756
wc0,-5.9093733,-28.213669
wc0,-10.321118,-26.67359
wc0,-7.4781094,-47.90512
wc0,7.8972826,-20.099714
wc0,14.438489,-19.183945
wc0,9.7005,-35.64472
wc0,-5.165085,-11.498629
wc0,-25.333448,-38.085567
wc0,-19.147095,-15.391447
wc0,-25.953783,-30.930101
wc0,5.7494855,-10.298572
wc0,-10.679311,-31.047136
wc0,-27.508259,-3.564565
wc0,1.6150328,-31.455933
wc0,-24.869576,-51.132465
wc0,-15.331192,-1.6258894
wc0,-13.187839,-10.16446
wc0,15.141611,-23.406748
wc0,-7.395811,-37.734154
wc0,6.484972,-23.858442
wc0,-34.33506,-10.234775
wc0,-31.785133,-40.37102
wc0,20.134092,-14.707932
wc0,12.414047,-24.619314
wc0,15.892839,-37.080334
wc0,-8.029165,-41.999336
wc0,-22.09466,-40.6848
wc0,10.708601,-22.515467
wc0,-11.885124,-0.74303377
wc0,-31.768063,-30.042969
wc0,-13.219561,-12.491887
wc0,-31.568653,-8.323015
wc0,-20.586962,-44.591976
wc0,-9.087036,-9.213032
wc0,-17.093332,-14.245611
wc0,5.1463776,-28.745022
wc0,7.6320443,-41.495407
wc0,-8.0919895,-6.423327
wc0,0.42173383,-15.874078
wc0,15.107524,-22.815262
wc0,-23.572777,-20.86169
wc0,-12.75046,-1.179639
wc0,19.042538,-19.487246
wc0,13.000332,-17.406776
wc0,-23.816942,-14.2249
wc0,-24.12698,-48.86953
wc0,9.004214,-26.458015
wc0,-24.356861,-5.688174
wc0,-31.352177,-25.134254
wc0,-22.6472,-5.592555
wc0,-23.514498,-18.503344
wc0,-18.35562,-25.532024
wc0,-19.415186,-23.561163
wc0,-17.953117,-15.252708
wc0,-1.625192,-46.86484
wc0,-1.7766358,-25.786137
wc0,-12.8390665,0.54162806
wc0,-19.804125,-51.010204
wc0,-15.203161,-9.625063
wc0,22.377739,-25.331968
wc0,-28.155376,-18.606236
wc0,-1.52471,-30.034866
wc0,-19.477049,-48.516846
wc0,-26.496521,-23.00321
wc0,-8.609329,-8.499425
wc0,7.890597,46.81147
wc0,-24.20864,-6.5618596
wc0,-3.381629,-33.90971
wc0,2.7920566,-30.782692
wc0,-8.782714,-28.45963
wc0,-15.61127,-39.81358
wc0,-22.118544,-9.685836
wc0,2.2012596,-5.963187
wc0,7.760931,-18.543688
wc0,10.065963,-38.332108
wc0,4.064698,-11.606421
wc0,-28.812248,-23.874552
wc0,-25.46149,-28.505577
wc0,-2.3297942,-33.314613
wc0,-26.020994,-36.640476
wc0,-13.384413,-34.263515
wc0,-0.27305475,-12.581359
wc0,0.9629339,-44.34891
wc0,-0.23386452,-39.87164
wc0,6.066846,-37.176937
wc0,14.3110285,-28.664871
wc0,-7.168837,-40.1858
wc0,-17.610523,-46.375824
wc0,-23.442629,-42.84321
wc0,-25.744665,-23.497948
wc0,-6.3613014,-17.222673
wc0,6.221285,-12.429389
wc0,14.723078,-21.79178
wc0,19.76528,-29.675556
wc0,-2.8558736,-8.311244
wc0,-11.841505,-8.040061
wc0,3.421752,-23.643402
wc0,-11.792503,-41.151505
wc0,-20.142693,-22.172333
wc0,-31.516472,-17.616304
wc0,-8.7918625,-2.3291054
wc0,-1.1480367,-7.836513
wc0,14.8348875,-26.961233
wc0,0.16963148,-6.423218
wc0,-2.5447383,-10.815412
wc0,-3.5703332,-36.09111
wc0,2.7113235,-39.27729
wc0,-5.326634,-40.737003
wc0,-6.9475074,-45.37744
wc0,-17.618198,-5.486252
wc0,-11.470062,-5.2330155
wc0,-14.649307,-43.806767
wc0,-2.9530437,-3.8022597
wc0,-13.289459,-38.928936
wc0,0.8952074,-30.553093
wc0,-26.39716,-25.810299
wc0,-7.102227,-0.54295367
wc0,9.891515,-9.758853
wc0,-16.55772,-31.140448
wc0,-15.70168,-44.330917
wc0,-5.549691,-16.587282
wc0,-14.374972,-20.170044
wc0,10.150102,-8.086838
wc0,-9.002675,-7.934493
wc0,2.2893002,-47.76939
wc0,-5.771268,-37.43433
wc0,15.25325,-32.213676
wc0,-18.43629,-13.284344
wc0,-24.462286,-21.153652
wc0,10.483223,-29.549149
wc0,-6.461157,-20.199022
wc0,-17.915657,-43.720917
wc0,-10.625894,-30.608545
wc0,-11.561808,-3.5062914
wc0,-19.325449,-32.690403
wc0,-1.4212041,-45.77349
wc0,4.275081,-2.8224185
wc0,-9.462578,-18.577414
wc0,-7.0431805,-4.662502
wc0,6.95767,-8.471444
wc0,-14.634772,-18.378046
wc0,-30.83805,-27.870205
wc0,-33.602673,-4.741961
wc0,-7.623967,-19.825006
wc0,-24.586887,-17.31476
wc0,-13.419978,-12.959066
wc0,-16.680698,1.7314049
wc0,-12.09295,-12.163372
wc0,-18.81206,-9.525084
wc0,5.379707,-30.304483
wc0,-30.37266,-34.314438
wc0,-26.206533,-23.10634
wc0,-20.126968,-20.311605
wc0,-27.56539,-43.847095
wc0,9.78215,-30.53573
wc0,1.2097943,-29.676651
wc0,-24.590193,-33.48941
wc0,-7.209674,-0.33070284
wc0,1.0639317,-35.019714
wc0,-3.447731,-7.9266295
wc0,-19.894363,-36.899204
wc0,9.085053,-26.353262
wc0,-18.864296,-42.97541
wc0,-23.795437,-39.315224
wc0,9.865689,-14.562932
wc0,7.703743,-14.522111
wc0,13.765237,-18.683046
wc0,-18.788551,-0.8219123
wc0,-8.337096,-37.13051
wc0,-15.693057,-11.082759
wc0,-19.994684,-38.638783
wc0,-8.64542,-46.786514
wc0,10.336739,-11.575772
wc0,-22.356329,-10.772038
wc0,2.1877792,-8.400819
wc0,-19.218513,-2.56635
wc0,-4.364347,-50.100815
wc0,-21.695976,-22.667229
wc0,-26.552547,-15.322369
wc0,-23.84489,-50.949112
wc0,10.921767,-18.11294
wc0,-19.834476,-8.792477
wc0,-22.463627,-17.898968
wc0,-25.340038,-9.740088
wc0,-2.5557547,-38.830475
wc0,-15.611827,-39.81513
wc0,17.89557,-20.389744
wc0,-2.3159604,-22.441408
wc0,8.395102,-32.228924
wc0,-26.143444,-48.627674
wc0,-19.362734,-10.95854
wc0,4.0097737,-3.339469
wc0,-12.85943,-29.482615
wc0,5.091947,-16.973661
wc0,-6.1378717,-32.751125
wc0,-30.170305,-34.21206
wc0,-2.8403056,-13.677796
wc0,-16.873535,-22.261269
wc0,-8.490328,-2.5034938
wc0,-20.744968,-24.386225
wc0,6.751913,-32.43578
wc0,-4.6477146,-13.777426
wc0,6.7261395,-14.934924
wc0,-22.397205,-3.3281677
wc0,-11.710826,-11.343673
wc0,4.130405,-34.221195
wc0,-10.01067,-33.175575
wc0,9.278036,-33.215485
wc0,-21.323969,-33.84442
wc0,-16.300879,-17.267353
wc0,-13.23854,-21.112865
wc0,-10.317211,-11.362739
wc0,-11.106473,-41.875034
wc0,-4.143138,-19.210083
wc0,-17.802696,-10.341512
wc0,-16.458742,-18.430414
wc0,4.499246,-12.484195
wc0,-0.4864038,-11.692596
wc0,2.8811882,-17.794981
wc0,15.692854,-27.355045
wc0,-4.8150682,-29.559624
wc0,-20.02629,-46.140816
wc0,10.8351,-38.751995
wc0,-2.346569,-29.667667
wc0,-32.516148,-15.14608
wc0,-16.666735,-3.523854
wc0,-29.801548,-5.9336457
wc0,-7.615886,-47.913795
wc0,11.562445,-15.447515
wc0,-21.546566,-9.4971895
wc0,-11.083172,-23.09167
wc0,-19.012442,-34.565495
wc0,-30.952066,-6.3097
wc0,-6.456346,-22.17779
wc0,-5.553583,-39.696907
wc0,-6.8779836,-9.356896
wc0,-34.28283,-2.0436373
wc0,-16.607746,-12.997956
wc0,-20.168276,-34.618847
wc0,-4.0696225,-14.480253
wc0,-24.575022,-39.5694
wc0,-17.788532,-12.973941
wc0,3.3891568,-45.448273
wc0,-18.589088,-46.493076
wc0,12.02163,-22.055128
wc0,-12.23324,-38.08895
wc0,7.712916,-26.249325
wc0,3.169929,-7.234201
wc0,7.704245,-36.98043
wc0,-5.938231,-35.8472
wc0,-23.379345,-12.799265
wc0,4.1937065,-14.029124
wc0,-22.041912,-28.984344
wc0,-22.5781,-19.200027
wc0,-16.704742,-0.66029966
wc0,-7.548108,-34.51201
wc0,5.4590087,-24.468563
wc0,-26.236387,-50.06578
wc0,-31.996716,-30.891373
wc0,-27.501534,-44.57701
wc0,6.8182917,-21.918554
wc0,9.275509,-6.317698
wc0,-19.088337,-11.736376
wc0,-12.076414,-8.061473
wc0,4.060153,-37.482887
wc0,-19.65659,-32.215405
wc0,-14.760599,-28.717901
wc0,-14.694744,-35.20844
wc0,-2.8994799,-18.880814
wc0,7.7943735,-46.382244
wc0,-12.366083,-32.440685
wc0,12.808134,-7.2520957
wc0,5.574535,-40.35661
wc0,-8.839927,-8.9753275
wc0,-3.40447,-16.398111
wc0,7.8740554,-46.27128
wc0,0.10700006,-16.300133
wc0,-10.902369,1.0016017
wc0,5.242403,-17.019104
wc0,-18.484592,-36.181747
wc0,-15.87562,-4.0094323
wc0,14.204599,-8.773057
wc0,-25.792803,-20.798014
wc0,-15.332012,-2.8370214
wc0,3.555348,-9.997088
wc0,13.732153,-36.00617
wc0,-3.2208002,-15.701857
wc0,-24.45383,-45.14377
wc0,-22.044271,-50.182888
wc0,-29.503595,-12.720281
wc0,-16.444918,6.3241816
wc0,-2.5887566,-3.5505407
wc0,-6.747,-17.420876
wc0,2.9219446,-8.1453905
wc0,-2.7131677,-31.965385
wc0,-20.903982,-29.204754
wc0,1.7863908,-11.354098
wc0,-15.4503565,-28.506834
wc0,-23.507074,-18.422474
wc0,-30.32599,-15.117342
wc0,-7.7468743,-41.02287
wc0,2.0688791,-15.907446
wc0,-0.16942896,-18.465353
wc0,-10.780441,-32.09582
wc0,-26.403694,-40.355232
wc0,13.206135,-9.047478
wc0,-25.110977,-1.630253
wc0,-20.819492,-25.22958
wc0,5.495042,-24.902952
wc0,-21.03393,-10.962284
wc0,2.3991299,-47.755596
wc0,-23.980982,-40.619526
wc0,5.475692,-19.809135
wc0,-10.820121,-4.043362
wc0,-25.85661,-15.515777
wc0,-31.071293,-30.499067
wc0,-6.104392,-41.54091
wc0,-16.887234,-4.8368964
wc0,-20.081362,-13.647801
wc0,-10.241931,-29.115639
wc0,-17.250841,-49.183376
wc0,-18.478403,-11.854653
wc0,-4.596715,-4.514462
wc0,-20.534761,-2.209038
wc0,-0.7778552,-43.656387
wc0,1.545339,0.88713974
wc0,-23.251566,0.3030459
wc0,-16.596317,-24.701107
wc0,-15.443652,-15.433921
wc0,16.318369,-13.425246
wc0,-26.641966,-9.646627
wc0,-8.655149,2.8875349
wc0,-6.2963915,-19.539259
wc0,0.29958364,-0.8871641
