label,dim1,dim2
wc0,27.190306,20.944693
wc0,-11.590082,-11.462499
wc0,-25.281225,4.528499
wc0,-12.652797,-3.7701874
wc0,-15.649989,7.0408936
wc0,-19.549442,-13.386392
wc0,-8.871599,-6.678213
wc0,-23.153725,2.1132722
wc0,-13.1986265,-13.025728
wc0,-18.523949,3.212889
wc0,-12.641454,-7.7246604
wc0,-11.888909,-7.6749167
wc0,-18.852665,1.1803515
wc0,-18.118568,-3.156595
wc0,-24.477585,-1.506582
wc0,-17.42339,-7.0542264
wc0,-13.431981,-1.72868
wc0,-20.523834,3.0623715
wc0,-28.386225,-4.1896687
wc0,-11.749398,-4.9905925
wc0,-27.755472,-4.0899453
wc0,-22.956436,8.809254
wc0,-13.749706,-0.060260735
wc0,-18.086666,1.5089239
wc0,-21.66133,5.0301037
wc0,-10.740051,-9.997017
wc0,3.1120694,-6.4865737
wc0,-6.4114075,-7.2859597
wc0,-11.562747,-1.0765254
wc0,-6.9418573,-10.438651
wc0,-8.8483715,-7.2260046
wc0,-14.571452,-5.351861
wc0,-12.549492,-9.985125
wc0,-19.43033,-5.2552204
wc0,-14.43786,-11.889953
wc0,-15.479005,3.7690337
wc0,-17.796291,-7.5158467
wc0,-23.550255,-6.2649655
wc0,-8.25697,7.2855186
wc0,0.27664185,3.791704
wc0,-10.451024,-5.677115
wc0,-9.890984,-10.119545
wc0,-13.68052,-14.114276
wc0,-16.903303,-5.2273736
wc0,-11.001275,-10.518109
wc0,-16.456022,-1.3692983
wc0,-14.667887,-5.311155
wc0,-10.477573,-5.397718
wc0,-22.872963,0.13718037
wc0,-17.405186,-3.763463
wc0,-14.235988,-3.0682282
wc0,-12.776016,-6.1084695
wc0,-26.154938,-9.158233
wc0,-22.468233,-10.096831
wc0,-15.07683,1.446846
wc0,-21.110807,1.6402934
wc0,-23.020498,-13.149984
wc0,-11.652388,-6.8477273
wc0,-15.703669,-9.310687
wc0,-19.1718,-8.189212
wc0,-23.449831,-2.2672749
wc0,-20.2533,10.279669
wc0,-12.411145,7.5440764
wc0,-18.555637,-0.8999533
wc0,-22.712313,7.373488
wc0,-13.75362,9.474433
wc0,-19.079796,0.79950637
wc0,-11.363887,-8.86938
wc0,-20.627016,-2.2062373
wc0,-11.04213,9.088658
wc0,-14.764029,-11.387992
wc0,-17.956186,-4.762813
wc0,-23.211828,-8.097666
wc0,-21.534573,-0.29872152
wc0,-18.543756,-4.16499
wc0,-28.415886,0.628024
wc0,-20.852549,-3.3485186
wc0,-12.66571,-4.3970165
wc0,-12.476912,-6.942401
wc0,-22.332304,-4.6176176
wc0,-8.822938,0.5098136
wc0,-17.221176,10.922605
wc0,-19.88662,-0.8013126
wc0,-14.985575,-10.908066
wc0,-10.396934,-1.2285671
wc0,-17.287596,4.1403093
wc0,-18.739382,-2.4089527
wc0,-10.682534,-4.98902
wc0,-14.449554,-3.4858465
wc0,-18.887953,-4.8322525
wc0,-15.532591,-1.5508516
wc0,-13.637602,3.9086766
wc0,-9.473006,-6.9326124
wc0,-17.481487,-6.842779
wc0,-15.319038,-4.5995913
wc0,-10.213583,-1.2478507
wc0,-7.400757,-5.24464
wc0,-16.082342,-7.7007422
wc0,-15.007451,-1.6804343
wc0,-17.012356,-8.335062
wc0,-10.9799185,-1.3688424
wc0,-15.919995,2.4850438
wc0,-6.2740946,-17.788004
wc0,-14.538543,-8.072553
wc0,-11.710542,-12.156244
wc0,-9.207622,-6.2697268
wc0,-6.5714664,-5.189372
wc0,-13.950045,-7.152209
wc0,-13.526347,-6.14361
wc0,-8.464829,-5.7193313
wc0,-14.779017,-6.747751
wc0,-10.519092,-8.608504
wc0,-10.310066,-12.32875
wc0,-11.277413,-9.874856
wc0,-24.805954,-10.490383
wc0,-10.068953,-2.6209567
wc0,-18.94705,-2.420557
wc0,-18.712639,3.426268
wc0,-17.945543,5.322641
wc0,-19.4236,1.5625554
wc0,-11.778489,1.7084689
wc0,-7.2453647,11.171435
wc0,-20.574768,1.2676637
wc0,-6.474053,-5.604475
wc0,-22.146147,-14.981179
wc0,-12.750746,-6.452014
wc0,-15.479413,-2.194582
wc0,-9.076232,-8.534855
wc0,-18.739414,-11.690993
wc0,-6.6569285,-0.5815915
wc0,-9.527459,-6.6157084
wc0,-23.031763,-3.8383784
wc0,-15.740664,-12.195567
wc0,-6.1573076,-12.191562
wc0,-8.290736,2.5800903
wc0,-18.12741,-10.837783
wc0,-10.53184,-5.7272267
wc0,-10.347219,1.2603407
wc0,-7.2790694,4.466623
wc0,-11.956739,-11.575607
wc0,-19.893711,-13.824138
wc0,-14.776698,-15.339309
wc0,-21.997746,-0.84538686
wc0,-12.246157,-9.919802
wc0,-11.819297,1.1567866
