label,dim1,dim2
wc0,37.60727,-13.027499
wc0,-18.584305,33.564903
wc0,-25.01455,17.15873
wc0,-15.687341,28.17752
wc0,-21.986538,11.490968
wc0,-14.926992,25.060192
wc0,-30.330698,19.809786
wc0,-17.628716,16.836527
wc0,-32.655605,27.92929
wc0,-34.206913,25.722473
wc0,-11.650256,26.937658
wc0,-19.746159,33.16614
wc0,-28.895636,16.59636
wc0,-40.56146,19.784132
wc0,-34.821655,32.126595
wc0,-34.30718,29.454218
wc0,-36.93523,29.403069
wc0,-33.981415,22.187153
wc0,-30.4148,18.225746
wc0,-16.88049,25.254307
wc0,-33.12383,18.147442
wc0,-24.417898,34.274906
wc0,-14.271141,16.18344
wc0,-35.891975,17.235353
wc0,-33.91277,24.067158
wc0,-22.880665,32.989933
wc0,-14.384381,34.791496
wc0,-14.636806,23.75128
wc0,-28.056639,24.46561
wc0,-28.556257,37.569374
wc0,-16.561579,28.59883
wc0,-29.102425,35.62508
wc0,-17.165226,32.9536
wc0,-29.961626,33.437286
wc0,-27.354912,27.74435
wc0,-16.433067,19.612366
wc0,-36.05839,22.300926
wc0,-21.004595,22.66469
wc0,-26.925014,21.740786
wc0,-18.232273,34.29057
wc0,-18.038776,10.779177
wc0,-30.488478,24.772564
wc0,-14.759653,33.615612
wc0,-17.561087,34.04439
wc0,-17.345337,31.132652
wc0,-28.323128,33.619083
wc0,-36.81441,29.30873
wc0,-20.573435,29.154108
wc0,-33.2239,22.756517
wc0,-25.166943,27.55409
wc0,-27.683197,12.686702
wc0,-27.234308,32.92399
wc0,-26.531046,12.917661
wc0,-29.86911,24.33804
wc0,-35.446735,20.709637
wc0,-31.628973,19.488028
wc0,-34.04258,26.637342
wc0,-27.964005,35.51884
wc0,-26.26702,36.505123
wc0,-33.903187,23.056007
wc0,-28.06285,37.335896
wc0,-22.240429,24.65795
wc0,-28.946459,22.77125
wc0,-29.677746,24.33038
wc0,-22.471853,14.754156
wc0,-25.883795,22.81035
wc0,-22.9368,25.616781
wc0,-12.290422,19.854513
wc0,-20.573,18.366928
wc0,-13.382285,22.625729
wc0,-25.152868,30.283504
wc0,-30.539795,29.769737
wc0,-35.437687,24.761974
wc0,-21.744114,30.54484
wc0,-18.928577,28.639523
wc0,-27.390419,15.908622
wc0,-26.129091,28.447695
wc0,-22.78778,27.22887
wc0,-35.03892,13.217923
wc0,-26.765398,16.931778
wc0,-20.03187,14.469888
wc0,-24.479025,12.881504
wc0,-15.616822,15.372163
wc0,-19.059734,21.078398
wc0,-24.050219,11.970711
wc0,-35.20794,23.287132
wc0,-24.36657,12.933889
wc0,-24.725628,36.61993
wc0,-33.849583,22.058908
wc0,-13.871148,27.95758
wc0,-24.577986,26.01757
wc0,-19.474882,35.41675
wc0,-24.973207,27.954243
wc0,-31.62845,20.86316
wc0,-11.729175,29.856888
wc0,-18.532635,36.156998
wc0,-18.476645,34.806267
wc0,-24.420233,28.660227
wc0,-26.696642,33.992054
wc0,-36.747124,27.620695
wc0,-20.35132,31.135618
wc0,-17.70529,24.642593
wc0,-19.927483,14.569016
wc0,-20.637278,30.105722
wc0,-19.885077,26.24114
wc0,-24.29044,29.58917
wc0,-17.57948,35.62999
wc0,-24.313719,26.315243
wc0,-22.32296,19.11083
wc0,-19.51815,34.130234
wc0,-20.49257,30.328503
wc0,-36.162415,19.18486
wc0,-18.2919,29.6854
wc0,-19.494055,33.333447
wc0,-19.321257,12.312561
wc0,-38.31004,25.359348
wc0,-37.941975,16.192339
wc0,-35.371082,18.371202
wc0,-31.547255,16.49802
wc0,-32.959534,19.999922
wc0,-27.755552,13.849621
wc0,-31.504356,8.714477
wc0,-24.566051,20.969885
wc0,-15.107752,24.858513
wc0,-15.198068,6.32436
wc0,-29.356752,31.68401
wc0,-19.937328,23.265856
wc0,-13.565507,21.073524
wc0,-28.133665,19.61421
wc0,-27.46107,27.778694
wc0,-22.082603,24.128557
wc0,-29.987812,20.351461
wc0,-19.908062,20.405201
wc0,-34.02391,15.383601
wc0,-13.491595,25.894005
wc0,-28.498896,33.832405
