lambda_rec,lambda_rep,lambda_grad,accuracy
0.15,1.1,0.25,0.7770982384681702
1.35,0.0,0.1499999999999999,0.8336607217788696
0.3,1.2,0.0,0.8302232027053833
0.3,0.15,1.05,0.8131250143051147
0.75,0.15,0.6,0.8417410850524902
0.05,0.25,1.2,0.8204910755157471
0.05,1.25,0.19999999999999996,0.8283035755157471
0.4,0.05,1.05,0.8170982003211975
0.15,0.15,1.2000000000000002,0.7936607003211975
1.0,0.2,0.3,0.807410717010498
0.55,0.95,0.0,0.8368750214576721
1.05,0.25,0.19999999999999996,0.8283035755157471
0.85,0.55,0.09999999999999998,0.808616042137146
0.0,0.35,1.15,0.8245535492897034
0.1,1.4,0.0,0.8514732122421265
1.35,0.1,0.049999999999999906,0.8589285612106323
0.05,0.9,0.5499999999999999,0.8272321224212646
0.6,0.6,0.30000000000000004,0.7908481955528259
0.2,1.15,0.15000000000000013,0.8176785707473755
0.7,0.65,0.15000000000000002,0.8427231907844543
0.1,0.4,0.9999999999999999,0.805267870426178
0.05,0.05,1.4,0.8223660588264465
0.45,0.25,0.8,0.844330370426178
1.1,0.05,0.3499999999999999,0.8071428537368774
0.2,0.35,0.9500000000000001,0.8222321271896362
0.4,0.95,0.15000000000000013,0.7988839149475098
0.3,0.85,0.35,0.7836607098579407
0.75,0.1,0.65,0.8279017806053162
0.85,0.0,0.65,0.8478124737739563
0.45,0.4,0.65,0.8474553823471069
1.5,0.0,0.0,0.7916517853736877
0.1,0.8,0.5999999999999999,0.7984374761581421
0.6,0.15,0.75,0.8363839387893677
0.75,0.65,0.09999999999999998,0.8043303489685059
0.5,0.8,0.19999999999999996,0.8268303275108337
0.75,0.75,0.0,0.8362946510314941
0.15,1.2,0.15000000000000013,0.8531249761581421
0.35,0.15,0.9999999999999999,0.8300446271896362
0.8,0.25,0.44999999999999996,0.820892870426178
0.3,0.0,1.2,0.7952678799629211
1.05,0.05,0.39999999999999997,0.8229017853736877
1.2,0.15,0.15000000000000005,0.811741054058075
0.5,0.25,0.75,0.8183928728103638
0.85,0.6,0.050000000000000044,0.8483035564422607
0.25,0.75,0.5,0.8237053751945496
0.4,0.25,0.8500000000000001,0.8057143092155457
0.45,0.9,0.15000000000000002,0.822857141494751
0.15,1.3,0.050000000000000044,0.833392858505249
0.15,0.35,1.0,0.7764732241630554
0.15,0.65,0.7000000000000001,0.8202232122421265
